source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C5_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C5_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C5_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C5_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_2A_5_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_2A_5_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_2A_5_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_2A_5_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_4A_18_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_4A_18_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_4A_18_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_4A_18_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_6A_17_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_6A_17_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_6A_17_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_6A_17_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_SECRETED_2_8_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_SECRETED_2_8_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_SECRETED_2_8_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_SECRETED_2_8_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_6B_5_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_6B_5_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_6B_5_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_6B_5_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_6A_15_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_6A_15_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_6A_15_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_6A_15_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_CYTOPLASMIC_5_2_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_CYTOPLASMIC_5_2_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_CYTOPLASMIC_5_2_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_CYTOPLASMIC_5_2_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C8_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C8_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C8_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C8_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_SHHi_B_MEBRANE_6_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_SHHi_B_MEBRANE_6_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_SHHi_B_MEBRANE_6_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_SHHi_B_MEBRANE_6_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_SECRETED_1_6_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_SECRETED_1_6_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_SECRETED_1_6_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_SECRETED_1_6_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_1B_10_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_1B_10_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_1B_10_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_1B_10_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_CELL_AUTO_A_CYTOPLASMIC_11_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_CELL_AUTO_A_CYTOPLASMIC_11_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_CELL_AUTO_A_CYTOPLASMIC_11_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_CELL_AUTO_A_CYTOPLASMIC_11_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_3_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_3_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_3_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_3_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_CYTOPLASMIC_9_1_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_CYTOPLASMIC_9_1_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_CYTOPLASMIC_9_1_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_CYTOPLASMIC_9_1_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_SECRETED_2_6_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_SECRETED_2_6_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_SECRETED_2_6_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_SECRETED_2_6_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_6B_8_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_6B_8_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_6B_8_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_6B_8_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_2B_10_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_2B_10_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_2B_10_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_2B_10_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_SHHi_C_MEBRANE_4_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_SHHi_C_MEBRANE_4_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_SHHi_C_MEBRANE_4_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_SHHi_C_MEBRANE_4_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_1B_22_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_1B_22_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_1B_22_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_1B_22_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_6A_5_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_6A_5_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_6A_5_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_6A_5_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_6B_20_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_6B_20_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_6B_20_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_6B_20_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
