source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
TB_B13-193	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-193	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-193.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-193.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A770	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A770	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A770.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A770.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A889	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A889	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A889.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A889.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B028	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B028	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B028.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B028.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-205	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-205	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-205.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-205.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-177	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-177	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-177.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-177.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-208	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-208	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-208.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-208.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A802	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A802	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A802.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A802.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A766	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A766	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A766.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A766.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A845	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A845	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A845.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A845.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A773	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A773	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A773.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A773.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-182	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-182	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-182.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B019	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B019	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B019.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A891	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A891	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A891.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A891.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A808	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A808	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A808.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A808.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-209	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-209	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-209.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-209.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-172	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-172	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-172.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-172.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B056	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B056	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B056.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B056.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A785	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A785	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A785.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A785.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A803	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A803	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A803.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A803.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B059	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B059	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B059.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B059.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A765	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A765	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A765.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A765.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B045	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B045	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B045.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B045.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A893	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A893	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A893.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A893.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A778	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A778	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A778.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A778.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A842	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A842	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A842.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A842.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A807	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A807	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A807.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A807.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B041	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B041	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B041.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B041.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B033	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B033	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B033.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B033.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
