source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism]
opossum_skin_fibroblast_proteome_pool	Monodelphis domestica	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=opossum_skin_fibroblast_rep1;SN=opossum_skin_fibroblast_rep2;SN=opossum_skin_fibroblast_rep3	pooled	proteome_run_30	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Opposum_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Monodelphis domestica;AC=NCBITaxon:13616
pig_skin_fibroblast_rep1	Sus scrofa	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_31	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_PigSF_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Sus scrofa;AC=NCBITaxon:9823
pig_skin_fibroblast_rep2	Sus scrofa	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_32	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_PigSF_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Sus scrofa;AC=NCBITaxon:9823
pig_skin_fibroblast_rep3	Sus scrofa	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_33	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_PigSF_C.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Sus scrofa;AC=NCBITaxon:9823
pig_skin_fibroblast_proteome_pool	Sus scrofa	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=pig_skin_fibroblast_rep1;SN=pig_skin_fibroblast_rep2;SN=pig_skin_fibroblast_rep3	pooled	proteome_run_34	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Pig_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Sus scrofa;AC=NCBITaxon:9823
rabbit_skin_fibroblast_rep1	Oryctolagus cuniculus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_35	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_RabbitSF_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986
rabbit_skin_fibroblast_rep2	Oryctolagus cuniculus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_36	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_RabbitSF_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986
rabbit_skin_fibroblast_rep3	Oryctolagus cuniculus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_37	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_RabbitSF_C.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986
rabbit_skin_fibroblast_proteome_pool	Oryctolagus cuniculus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=rabbit_skin_fibroblast_rep1;SN=rabbit_skin_fibroblast_rep2;SN=rabbit_skin_fibroblast_rep3	pooled	proteome_run_38	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Rabbit_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986
rat_skin_fibroblast_rep1	Rattus norvegicus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_39	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Rat_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Rattus norvegicus;AC=NCBITaxon:10116
rat_skin_fibroblast_rep2	Rattus norvegicus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_40	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Rat_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Rattus norvegicus;AC=NCBITaxon:10116
rat_skin_fibroblast_rep3	Rattus norvegicus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_41	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Rat_F.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Rattus norvegicus;AC=NCBITaxon:10116
rat_skin_fibroblast_proteome_pool	Rattus norvegicus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=rat_skin_fibroblast_rep1;SN=rat_skin_fibroblast_rep2;SN=rat_skin_fibroblast_rep3	pooled	proteome_run_42	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Rat_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Rattus norvegicus;AC=NCBITaxon:10116
sheep_skin_fibroblast_rep1	Ovis aries	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_43	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Sheep37SF_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Ovis aries;AC=NCBITaxon:9940
sheep_skin_fibroblast_rep2	Ovis aries	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_44	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Sheep37SF_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Ovis aries;AC=NCBITaxon:9940
sheep_skin_fibroblast_rep3	Ovis aries	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_45	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Sheep37SF_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Ovis aries;AC=NCBITaxon:9940
sheep_skin_fibroblast_proteome_pool	Ovis aries	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=sheep_skin_fibroblast_rep1;SN=sheep_skin_fibroblast_rep2;SN=sheep_skin_fibroblast_rep3	pooled	proteome_run_46	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Sheep_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Ovis aries;AC=NCBITaxon:9940
