source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
FIG_3_PREMIX_A_1	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_3_PREMIX_A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_3_PREMIX_A_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_3_PREMIX_A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG1C_TIO2_500UG_AUTO_3	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	3	FIG1C_TIO2_500UG_AUTO_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG1C_TIO2_500UG_AUTO_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG1C_TIO2_500UG_AUTO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG5_1_KRAS_G12D_4	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	4	FIG5_1_KRAS_G12D_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG5_1_KRAS_G12D_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG5_1_KRAS_G12D_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S1B_MAGRESYN_ZRO2_A	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_S1B_MAGRESYN_ZRO2_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S1B_MAGRESYN_ZRO2_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S1B_MAGRESYN_ZRO2_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_3_POSTMIX_B_3	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	3	FIG_3_POSTMIX_B_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_3_POSTMIX_B_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_3_POSTMIX_B_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S1B_MAGRESYN_TIIMAC_B	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_S1B_MAGRESYN_TIIMAC_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S1B_MAGRESYN_TIIMAC_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S1B_MAGRESYN_TIIMAC_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S3_3MG_TIO2_ELUTION_3	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	3	FIG_S3_3MG_TIO2_ELUTION_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S3_3MG_TIO2_ELUTION_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S3_3MG_TIO2_ELUTION_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S2A_TIO2_GA_2_5NH_A	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_S2A_TIO2_GA_2_5NH_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S2A_TIO2_GA_2_5NH_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S2A_TIO2_GA_2_5NH_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG5_3_KRAS_G12D_5	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	5	FIG5_3_KRAS_G12D_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG5_3_KRAS_G12D_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG5_3_KRAS_G12D_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG1C_TIO2_500UG_MAN_2	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	2	FIG1C_TIO2_500UG_MAN_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG1C_TIO2_500UG_MAN_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG1C_TIO2_500UG_MAN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S2A_TIO2_GA_1NH_B	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_S2A_TIO2_GA_1NH_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S2A_TIO2_GA_1NH_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S2A_TIO2_GA_1NH_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S2A_TIO2_1NH_A	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_S2A_TIO2_1NH_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S2A_TIO2_1NH_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S2A_TIO2_1NH_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S3_2MG_TIO2_ELUTION_3	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	3	FIG_S3_2MG_TIO2_ELUTION_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S3_2MG_TIO2_ELUTION_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S3_2MG_TIO2_ELUTION_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_4A_TIO2_DAY2_B	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_4A_TIO2_DAY2_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_4A_TIO2_DAY2_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_4A_TIO2_DAY2_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_4A_TIO2_DAY5_B	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_4A_TIO2_DAY5_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_4A_TIO2_DAY5_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_4A_TIO2_DAY5_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG5_3_KRAS_WT_5	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	5	FIG5_3_KRAS_WT_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG5_3_KRAS_WT_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG5_3_KRAS_WT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S2B_TIIMAC_GA_2_5NH_A	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_S2B_TIIMAC_GA_2_5NH_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S2B_TIIMAC_GA_2_5NH_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S2B_TIIMAC_GA_2_5NH_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S2A_TIO2_2_5NH_A	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_S2A_TIO2_2_5NH_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_S2A_TIO2_2_5NH_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S2A_TIO2_2_5NH_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_3_POSTMIX_A_1	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_3_POSTMIX_A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_3_POSTMIX_A_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_3_POSTMIX_A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG5_1_KRAS_WT_7	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	7	FIG5_1_KRAS_WT_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG5_1_KRAS_WT_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG5_1_KRAS_WT_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG1C_TIO2_100UG_MAN_3	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	3	FIG1C_TIO2_100UG_MAN_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG1C_TIO2_100UG_MAN_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG1C_TIO2_100UG_MAN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_4C_MIX_DAY3_C	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_4C_MIX_DAY3_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_4C_MIX_DAY3_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_4C_MIX_DAY3_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG5_2_KRAS_WT_8	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	8	FIG5_2_KRAS_WT_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG5_2_KRAS_WT_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG5_2_KRAS_WT_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_4C_MIX_DAY3_B	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_4C_MIX_DAY3_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_4C_MIX_DAY3_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_4C_MIX_DAY3_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_4C_MIX_DAY5_C	mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_4C_MIX_DAY5_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	1	1	FIG_4C_MIX_DAY5_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_4C_MIX_DAY5_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
