accession	action	column	value	note
PXD051011	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD051011	TEMPLATE	comment[sdrf template]	human	
PXD051582	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD051582	TEMPLATE	comment[sdrf template]	vertebrates	
PXD051715	ADDED	characteristics[developmental stage]	adult	sample processing protocol
PXD051715	TEMPLATE	comment[sdrf template]	vertebrates	
PXD052976	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD052976	TEMPLATE	comment[sdrf template]	vertebrates	
PXD053037	ADDED	characteristics[cell type]	cardiac muscle cell	PRIDE sample processing protocol PXD053037
PXD053037	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD053037	TEMPLATE	comment[sdrf template]	vertebrates	
PXD053051	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD053051	TEMPLATE	comment[sdrf template]	vertebrates	
PXD053395	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD053395	TEMPLATE	comment[sdrf template]	vertebrates	
PXD053721	ADDED	characteristics[developmental stage]	adult	PRIDE project description PXD053721
PXD053721	ADDED-REQUIRED	characteristics[age]	not available	human
PXD053721	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD053721	TEMPLATE	comment[sdrf template]	human	
PXD056556	SET	characteristics[developmental stage]	neonate	PRIDE project description
PXD057325	ADDED	characteristics[developmental stage]	adult	PRIDE project description
PXD057325	ADDED	characteristics[strain or breed]	C57BL/6JArc	PRIDE project description
PXD057325	SET	characteristics[disease]	normal	PRIDE project description
PXD057325	TEMPLATE	comment[sdrf template]	vertebrates	
PXD057532	ADDED	characteristics[sex]	male	publication PMC13080239 (cue sentences in bundle)
PXD057532	ADDED	characteristics[developmental stage]	adult	publication PMC13080239 (cue sentences in bundle)
PXD057532	ADDED	characteristics[age]	18W-22W	publication PMC13080239 (cue sentences in bundle)
PXD057532	TEMPLATE	comment[sdrf template]	vertebrates	
PXD058090	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD058090	TEMPLATE	comment[sdrf template]	vertebrates	
PXD058165	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD058165	TEMPLATE	comment[sdrf template]	vertebrates	
PXD058185	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD058185	TEMPLATE	comment[sdrf template]	vertebrates	
PXD059000	SET	characteristics[disease]	AL amyloidosis	PRIDE project description
PXD059000	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD059000	TEMPLATE	comment[sdrf template]	vertebrates	
PXD060084	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD060084	TEMPLATE	comment[sdrf template]	vertebrates	
PXD060259	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC13031966
PXD060259	ADDED	characteristics[age]	8W-16W	publication PMC13031966
PXD061501	ADDED	characteristics[strain or breed]	C57BL/6N	PRIDE sample processing protocol
PXD061501	ADDED	characteristics[age]	21W	PRIDE sample processing protocol
PXD061501	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol
PXD061501	TEMPLATE	comment[sdrf template]	vertebrates	
PXD061589	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD061589	TEMPLATE	comment[sdrf template]	vertebrates	
PXD061636	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD061636	TEMPLATE	comment[sdrf template]	vertebrates	
PXD061882	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD061882	TEMPLATE	comment[sdrf template]	vertebrates	
PXD064296	ADDED-REQUIRED	characteristics[age]	not available	human
PXD064296	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD064296	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD064296	TEMPLATE	comment[sdrf template]	human	
PXD065331	ADDED	characteristics[strain or breed]	German Landrace	publication PMC12804299
PXD065331	ADDED	characteristics[age]	8M-9M	publication PMC12804299
PXD065331	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD065331	TEMPLATE	comment[sdrf template]	vertebrates	
PXD066795	SET	characteristics[disease]	atrial fibrillation	PRIDE title
PXD066795	ADDED-REQUIRED	characteristics[age]	not available	human
PXD066795	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD066795	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD066795	TEMPLATE	comment[sdrf template]	human	
PXD067090	ADDED	characteristics[sex]	male	publication PMC13279018
PXD067090	ADDED	characteristics[strain or breed]	129/SvEv	publication PMC13279018
PXD067090	SET	characteristics[developmental stage]	adult	publication PMC13279018
PXD067097	ADDED	characteristics[strain or breed]	Yorkshire	publication PMC13323166
PXD067097	ADDED	characteristics[developmental stage]	juvenile stage	publication PMC13323166
PXD067097	ADDED	characteristics[age]	3M-4M	publication PMC13323166
PXD067097	TEMPLATE	comment[sdrf template]	vertebrates	
PXD068671	ADDED-REQUIRED	characteristics[age]	not available	human
PXD068671	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD068671	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD068671	TEMPLATE	comment[sdrf template]	human	
PXD069685	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC13108437
PXD069685	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD069685	TEMPLATE	comment[sdrf template]	vertebrates	
PXD072759	ADDED	characteristics[cell type]	macrophage	PRIDE sample processing protocol
PXD072759	SET	characteristics[developmental stage]	adult	publication PMC13246753
PXD072759	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC13246753
PXD073863	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD073863	TEMPLATE	comment[sdrf template]	vertebrates	
PXD075583	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD075583	TEMPLATE	comment[sdrf template]	vertebrates	
PXD076291	ADDED	characteristics[cell type]	cardiomyoblast	publication PMC13243507
PXD076291	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD076291	TEMPLATE	comment[sdrf template]	vertebrates	
PXD077277	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD077277	TEMPLATE	comment[sdrf template]	vertebrates	
PXD082534	SET	characteristics[disease]	heart failure	publication PMC12643554
PXD082534	ADDED-REQUIRED	characteristics[age]	not available	human
PXD082534	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD082534	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD082534	TEMPLATE	comment[sdrf template]	human	
PXD030857	ADDED	characteristics[sex]	male	publication PMC10011552
PXD030857	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC10011552
PXD030857	ADDED	characteristics[developmental stage]	adult	publication PMC10011552
PXD030857	TEMPLATE	comment[sdrf template]	vertebrates	
PXD041137	ADDED	characteristics[sex]	male	publication PMC11648168
PXD041137	SET	characteristics[developmental stage]	adult	PRIDE project description
PXD052071	ADDED-REQUIRED	characteristics[age]	not available	human
PXD052071	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD052071	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD052071	TEMPLATE	comment[sdrf template]	human	
PXD060417	SET	characteristics[disease]	abdominal aortic aneurysm	publication PMC12743587
PXD078502	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD078502	TEMPLATE	comment[sdrf template]	vertebrates	
PXD078686	ADDED-REQUIRED	characteristics[age]	not available	human
PXD078686	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD078686	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD078686	TEMPLATE	comment[sdrf template]	human	
PXD001020	SET-ALL	characteristics[cell type]	not applicable	cardiac muscle cell
PXD001888	SET-ALL	characteristics[cell type]	not applicable	cardiac muscle cell
PXD002870	SET-KEY	characteristics[disease]	682 rows via characteristics[phenotype]	
PXD002870	SET-ALL	characteristics[developmental stage]	adult	9W-12W
PXD002870	SET-ALL	characteristics[age]	9W-12W	9W-12W
PXD002870	SET-ALL	characteristics[cell type]	not applicable	cardiac
PXD002870	SET-ALL	characteristics[enrichment process]	not applicable	enrichment of phosphorylated Protein
PXD003204	SET-ALL	characteristics[developmental stage]	juvenile stage	adult
PXD006646	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD006888	SET-ALL	characteristics[cell type]	not applicable	cardiac muscle cell
PXD008722	SET-ALL	characteristics[disease]	mitral valve insufficiency	dilated left atria
PXD008722	SET-KEY	characteristics[organism part]	252 rows via factor value[organism part]	
PXD012593	SET-KEY	characteristics[disease]	16 rows via characteristics[strain/breed]	
PXD012593	SET-KEY	characteristics[disease]	0 rows via characteristics[strain/breed]	missing key column
PXD012593	REPLACE	characteristics[disease]	normal -> not available	50
PXD013543	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD013543	SET-ALL	characteristics[cell type]	not applicable	cardiac muscle myoblast
PXD018678	SET-ALL	characteristics[organism part]	heart left ventricle	left ventricular
PXD018678	SET-ALL	characteristics[disease]	not available	heart failure
PXD018678	SET-ALL	characteristics[organism part]	heart left ventricle	left ventricular
PXD018678	SET-ALL	characteristics[disease]	not available	heart failure
PXD019594	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD019594	SET-ALL	characteristics[cell type]	not applicable	cardiac muscle cell
PXD019852	SET-ALL	characteristics[disease]	not available	laron syndrome
PXD019852	DROP-COL	factor value[disease]	1	
PXD020192	SET-ALL	characteristics[disease]	normal	none
PXD021165	SET-ALL	characteristics[disease]	not available	restrictive cardiomyopathy
PXD021165	DROP-COL	factor value[disease]	1	
PXD021261	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD021640	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD022091	SET-ALL	characteristics[organism part]	not applicable	heart
PXD022091	SET-ALL	characteristics[cell type]	not available	cardiac muscle cell
PXD022091	DROP-COL	factor value[organism part]	0	
PXD022455	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD025096	REPLACE	characteristics[disease]	normal -> not available	7
PXD027867	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD029031	SET-ALL	characteristics[organism part]	heart left ventricle	Heart
PXD030857	SET-ALL	characteristics[organism part]	not available	aorta
PXD030938	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD030938	SET-ALL	characteristics[cell type]	not applicable	cardiocyte
PXD032157	SET-KEY	characteristics[organism part]	12 rows via source name	
PXD032157	DROP-COL	factor value[organism part]	1	
PXD032667	SET-ALL	characteristics[disease]	not available	heart failure
PXD032667	DROP-COL	factor value[disease]	1	
PXD033029	SET-ALL	characteristics[organism part]	liver	Heart
PXD033876	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD033908	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD035734	SET-ALL	characteristics[organism part]	not applicable	Cardiomyocyte cell line
PXD035734	DROP-COL	factor value[organism part]	1	
PXD036364	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD038922	SET-ALL	characteristics[organism part]	carotid artery segment	Heart
PXD038922	SET-ALL	factor value[organism part]	NT=carotid artery segment;AC=UBERON:0005396	Heart
PXD039174	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD039613	SET-ALL	characteristics[organism part]	not applicable	Fetal cardiomyocyte
PXD039613	DROP-COL	factor value[organism part]	1	
PXD040785	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD041056	SET-ALL	characteristics[organism part]	left cardiac atrium	heart
PXD043158	SET-ALL	characteristics[disease]	not available	systemic primary carnitine deficiency disease
PXD043158	DROP-COL	factor value[disease]	1	
PXD048363	SET-KEY	characteristics[disease]	18 rows via source name	
PXD049426	SET-ALL	characteristics[cell type]	not applicable	regular cardiac myocyte
PXD050458	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD050994	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD051582	SET-ALL	characteristics[organism part]	heart right ventricle	heart
PXD052071	SET-ALL	characteristics[disease]	not available	atherosclerosis
PXD052071	DROP-COL	factor value[disease]	1	
PXD056037	SET-KEY	characteristics[disease]	32 rows via factor value[phenotype]	
PXD057325	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD058165	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD060259	SET-ALL	characteristics[disease]	not available	myocardial infarction
PXD060417	SET-ALL	characteristics[organism part]	abdominal aorta	Abdominal aorta aneurysm disease specific cell type
PXD060417	SET-ALL	factor value[organism part]	NT=abdominal aorta;AC=UBERON:0001516	Abdominal aorta aneurysm disease specific cell type
PXD060417	SET-ALL	characteristics[disease]	abdominal aortic aneurysm	abdominal aortic aneurysm
PXD065331	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD066795	SET-ALL	characteristics[organism part]	cardiac atrium	heart
PXD067090	SET-ALL	characteristics[organism part]	heart left ventricle	Heart
PXD069823	SET-ALL	characteristics[developmental stage]	not available	embryo stage
PXD073246	REPLACE	characteristics[disease]	normal -> aortic valve insufficiency	27
PXD073246	REPLACE	factor value[disease]	NT=normal;AC=PATO:0000461 -> NT=aortic valve insufficiency;AC=MONDO:0005648	27
PXD073863	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD076291	SET-ALL	characteristics[organism part]	not applicable	heart
PXD076291	SET-ALL	characteristics[cell type]	cardiomyoblast	cardiomyoblast
PXD076291	SET-ALL	characteristics[cell line]	H9c2	
PXD077277	SET-ALL	characteristics[cell type]	not applicable	cardiac muscle cell
PXD082534	SET-ALL	characteristics[organism part]	heart left ventricle	heart
PXD020192	SYNC-FACTOR	factor value[organism part]	Seminal Vesicle;adipose;adrenalgland;anus;appendix;bladder;b	
PXD029031	SYNC-FACTOR	factor value[organism part]	heart left ventricle	
PXD033029	SYNC-FACTOR	factor value[organism part]	liver	
PXD067090	SYNC-FACTOR	factor value[organism part]	heart left ventricle	
