accession	field	value	confidence	source	evidence_quote
PXD035554	developmental stage	juvenile	medium	publication PMC11179111	Briefly, a total of 32 piglets (age 3 months) were studied.
PXD035734	cell type	cardiomyocyte	high	PRIDE sample processing protocol PXD035734	Lactate purified cardiomyocytes expressing either empty vector control or FLAG-ALPK3 were washed with cold PBS prior to lysis in Co-IP buffer
PXD036259	developmental stage	adult	high	PRIDE sample processing protocol PXD036259	Heart tissues of these ZSF1 rats were analyzed when animals reached about 20 weeks of age.
PXD036259	strain or breed	ZSF1	high	PRIDE sample processing protocol PXD036259	Eight week-old ZSF1 lean and obese rats were fed a Purina diet (#5008) for 12-14 weeks up to the onset of the HFpEF phenotype in the ZSF1 obese group.
PXD036364	organism part	heart left ventricle	medium	PRIDE project description PXD036364	Left ventricular tissue was excised from 9 mice
PXD037524	strain or breed	C57BL/6J	medium	PRIDE project description PXD037524	We performed proteomics on whole heart tissue of MPO-deficient mice on C57BL/6J background and wildtype (WT) littermates seven days after intravenous injection of the anthracycline Doxorubicin
PXD038922	organism part	carotid artery	high	PRIDE sample processing protocol PXD038922	Each collected carotid artery sample (N=5 per study group) was homogenized in liquid nitrogen
PXD039007	sex	female	high	publication PMC9917977	That Pauline Jaricot has always remained canonically secular is all the more remarkable because non-religious, unmarried women were poorly considered at that time [ 11 ] (p.
PXD039007	developmental stage	adult	medium	publication PMC9917977	Pauline-Marie Jaricot was born into a prosperous family of silk workers on 21 July 1799, in Lyon.
PXD039174	developmental stage	adult	high	publication PMC10243111	Adult wild-type mice (C57BL/6, n
PXD039174	strain or breed	C57BL/6	high	publication PMC10243111	Adult wild-type mice (C57BL/6, n
PXD039174	disease	normal	high	publication PMC10243111	Adult wild-type mice (C57BL/6, n
PXD039174	organism part	heart left ventricle	high	publication PMC10243111	The left ventricle (LV) of each heart was dissected
PXD039587	developmental stage	neonate	high	publication PMC9985628	NRCMs were isolated from the ventricles of Sprague-Dawley rats (2 weeks pregnant, obtained from the Model Animal Research Center of Nanjing University) on a postnatal day 2
PXD039587	strain or breed	Sprague-Dawley	high	publication PMC9985628	NRCMs were isolated from the ventricles of Sprague-Dawley rats (2 weeks pregnant, obtained from the Model Animal Research Center of Nanjing University) on a postnatal day 2
PXD039587	cell type	cardiac muscle cell	high	PRIDE title/description PXD039587	NRCMs were treated with ISO (10 μM) in the presence or absence of FGF18 (50 ng/ml) for 48 h.
PXD039587	age	1D-2D	medium	publication PMC9985628	Briefly, 1- to 2-day-old SD rat pups were rinsed quickly in 75% ethanol solution
PXD039613	cell type	cardiac muscle cell	high	publication PMC10002553	To address these gaps, we have now performed a comparative multi-omics (proteomic, phosphoproteomic, and metabolomic) analysis to illuminate the early and direct consequences of mutations in MYH7 in engineered human induced pluripotent stem-cell-derived cardiomyocytes (hiPSC-CM), in comparison to isogenic control cells, versus human HCM-patient-derived cardiac myectomy tissue, representing the spectrum of very early to clinically advanced stages of pathology.
PXD039662	developmental stage	adult	high	publication PMC10047037	From March 2019 until September 2020, all adult patients referred to our institution for elective surgery for severe AV dysfunction (isolated AR or AS) were considered eligible.
PXD040488	developmental stage	adult	medium	publication PMC10712656	Consecutive patients with end-stage lamin heart disease (LMNA-group, n = 7) and ischaemic DCM (ICM-group, n = 7) undergoing heart transplantation were prospectively enrolled.
PXD040785	strain or breed	Wistar	high	PRIDE description PXD040785	Wistar rats were divided into four groups: sedentary control (C-Sed), exercised control (C-Ex), sedentary aortic stenosis (AS-Sed), and exercised AS (AS-Ex).
PXD040785	organism part	heart left ventricle	high	PRIDE sample processing protocol PXD040785	LV non-pooled samples from ten rate in each group were used in the proteomics analysis.
PXD041056	sex	female	high	publication PMC11141153	AF was induced and maintained in farm reared female goats (C.
PXD041056	developmental stage	adult	high	publication PMC11141153	hircus) aged between 24 and 34 months (weight 72 ±8 kg) for 6 months
PXD041056	age	24M-34M	medium	publication PMC11141153	hircus) aged between 24 and 34 months (weight 72 ±8 kg) for 6 months
PXD041056	organism part	heart left atrium	high	publication PMC11141153	left atrial tissue biopsies from goat hearts
PXD041137	sex	male	medium	publication PMC11648168	Male ApoE −/− and LDLr −/− mice (5 weeks of age) were purchased from The Jackson Laboratory (Bar Harbor, ME) and kept in AAALAC-accredited facilities at Case Western Reserve University.
PXD041137	developmental stage	adult	medium	PRIDE project description	A 6-month in vivo study will be carried out at Case Western Reserve University (CWRU) using an ApoE-/- mouse model of atherosclerosis (obtained from The Jackson Laboratory)
PXD041660	developmental stage	adult	medium	PRIDE project description	By combining in vivo, ex vivo, and in vitro strategies, we demonstrated that there are sex-specific features that influence the response to pharmacological intervention in the aging mouse heart
PXD042904	cell type	fibroblast of cardiac tissue	high	publication PMC10739604	Adult murine cardiac fibroblasts were transfected with control or miR-199a-3p mimics and conditioned media was collected and processed for mass-spectrometric analysis.
PXD042904	sex	male	high	publication PMC10739604	Adult mouse cardiac fibroblasts were isolated from young 8–10 week old male C57BL6/J mice (Charles River, UK)
PXD042904	developmental stage	adult	high	publication PMC10739604	Adult murine cardiac fibroblasts were transfected with control or miR-199a-3p mimics and conditioned media was collected and processed for mass-spectrometric analysis.
PXD042904	age	8W-10W	high	publication PMC10739604	Adult mouse cardiac fibroblasts were isolated from young 8–10 week old male C57BL6/J mice (Charles River, UK)
PXD042904	strain or breed	C57BL/6J	high	publication PMC10739604	Adult mouse cardiac fibroblasts were isolated from young 8–10 week old male C57BL6/J mice (Charles River, UK)
PXD043108	developmental stage	adult	high	PRIDE project description	Mouse hearts of five WT vs. Dyferlin KO mice each at an age of 16 and 32 weeks were perfused on a modified Langendorff setup for 2 min with 0.9% NaCl to wash out blood from the myocardium, dissected and immediately snap-frozen.
PXD043577	cell type	cardiac fibroblast	medium	PRIDE sample processing protocol	Proteomic analysis was performed on the conditioned media (supernatant) from Control and Smad7KO fibroblasts after 24 hours of TGFβ1 treatment (10 ng/ml) (n=3 of each condition).
PXD043588	developmental stage	neonate	high	PRIDE sample processing protocol	Isolated cardiac ventricles from neonatal rats were subjected to a quantitative shotgun proteomics.
PXD043588	strain or breed	Sprague-Dawley	medium	PRIDE project description	Female Sprague-Dawley rats were fed an iron-restricted or iron-replete diet before and during pregnancy.
PXD044060	developmental stage	adult	high	publication PMC12022211	Material and methods Tissue sampling and ribosome purification by subcellular fractionation Wild-type (WT) C57BL/6J adult mice were used in this study, regardless of their sex, except for collection of the testis.
PXD044060	strain or breed	C57BL/6J	high	publication PMC12022211	Material and methods Tissue sampling and ribosome purification by subcellular fractionation Wild-type (WT) C57BL/6J adult mice were used in this study, regardless of their sex, except for collection of the testis.
PXD044060	disease	normal	high	publication PMC12022211	Material and methods Tissue sampling and ribosome purification by subcellular fractionation Wild-type (WT) C57BL/6J adult mice were used in this study, regardless of their sex, except for collection of the testis.
PXD044060	age	4W-6W	high	publication PMC12022211	Organs and tissues of 4–6 week-old mice were dissected and flash-frozen in liquid nitrogen.
PXD044178	sex	male	high	publication PMC11603239	Three male mice (C57BL/6–8 weeks) per group
PXD044178	strain or breed	C57BL/6	high	PRIDE sample processing protocol	Nine healthy male C57BL/6 mice were airlifted from Chengdu (500 m above the sea level) to Lhasa (3600 m above the sea level)
PXD044178	developmental stage	adult	high	PRIDE sample processing protocol	Three hundred and twenty healthy male and 10 female C57BL/6 mice (6–8 weeks of age) were purchased from Chengdu Dossy Experimental Animals Limited in Chengdu, China
PXD044178	age	6W-8W	medium	PRIDE sample processing protocol	Three hundred and twenty healthy male and 10 female C57BL/6 mice (6–8 weeks of age) were purchased from Chengdu Dossy Experimental Animals Limited in Chengdu, China
PXD044178	disease	normal	medium	PRIDE sample processing protocol	Three healthy male C57BL/6 mice were housed in Chengdu as a control group under standard laboratory conditions.
PXD044236	disease	normal	high	publication PMC10561727	The lean heterozygous Dock7 m +/+ Lepr db littermates (db/m) served as the control group, which can be identified from homozygotes before the phenotype becomes severe.
PXD044236	developmental stage	adult	medium	publication PMC10561727	Posttreatment echocardiograms were obtained from 17-week-old mice, with AAV9 administered 8 weeks earlier.
PXD044236	strain or breed	C57BLKS/J	medium	publication PMC10561727	Equal amount of male and female C57BLKS/J genetic background BKS.Cg-Dock7 m +/+ Lepr db /J mice (The Jackson Laboratory) were used for this study.
PXD044253	sex	male	high	publication PMC11535427	We obtained 11-month-old male C57/B6J mice from Vital River Laboratories in Zhejiang, China.
PXD044253	developmental stage	adult	high	publication PMC11535427	We obtained 11-month-old male C57/B6J mice from Vital River Laboratories in Zhejiang, China.
PXD044253	strain or breed	C57BL/6J	medium	publication PMC11535427	We obtained 11-month-old male C57/B6J mice from Vital River Laboratories in Zhejiang, China.
PXD044254	sex	male	high	publication PMC11535427	We obtained 11-month-old male C57/B6J mice from Vital River Laboratories in Zhejiang, China.
PXD044254	developmental stage	adult	high	publication PMC11535427	We obtained 11-month-old male C57/B6J mice from Vital River Laboratories in Zhejiang, China.
PXD044254	strain or breed	C57BL/6J	medium	publication PMC11535427	We obtained 11-month-old male C57/B6J mice from Vital River Laboratories in Zhejiang, China.
PXD044936	developmental stage	fetal stage	high	PRIDE sample processing protocol	We used 6 whole frozen ventricles from 10- and 18- weeks fetal hearts (n=3; n=3).
PXD044936	disease	normal	high	publication PMC10668469	Samples were collected from healthy donors undergoing elective pregnancy termination, and terminations due to congenital heart defects were excluded [ 14 ].
PXD046385	cell type	cardiac muscle cell	high	PRIDE sample processing protocol	three independent samples for each group, each containing 12 million cardiomyocytes
PXD048078	sex	male	high	PRIDE sample processing protocol (also publication PMC12185556)	Male CD-1 mice (Mus musculus), 42 to 48 days old, were obtained from Charles River Laboratories
PXD048078	strain or breed	CD-1	high	PRIDE sample processing protocol	Male CD-1 mice (Mus musculus), 42 to 48 days old, were obtained from Charles River Laboratories
PXD048078	developmental stage	adult	high	PRIDE sample processing protocol	The protocol started when the mice were 19 months old, approximately equivalent to 75 years old in humans (30).
PXD048877	strain or breed	ICR	high	PRIDE sample processing protocol	Adult ICR mice were subjected to permanent ligation of the left anterior descending artery
PXD049057	cell type	fibroblast	high	PRIDE sample processing protocol	Proteomic analysis was performed on the conditioned media (supernatant) from Control (WT) and Smad7KO (S7) fibroblasts after 24 hours
PXD049369	disease	immunoglobulin light chain amyloidosis	high	PRIDE title and project description	we investigated the N-glycosylation of the amyloid fibrils extracted from the heart of a patient affected by AL amyloidosis
PXD050458	organism part	heart left ventricle	high	sample processing protocol	hearts were dissected, and left ventricles (LV) were collected
PXD050458	disease	normal	medium	project description	In this study, we performed a proteomic analysis to elucidate the proteome of the fasting heart.
PXD050610	organism part	heart left ventricle	high	publication PMC12610413	Untargeted proteomic analysis was performed on human left ventricle (LV) myocardial tissue samples
PXD050994	strain or breed	German Landrace	high	publication PMC11628585	Sixteen German Landrace pigs of either sex were used in the experiment out of which 9 served as control (WT) and 7 of them underwent CKD induction.
PXD050994	organism part	heart left ventricle	high	sample processing protocol	Frozen left ventricular heart tissue samples were placed into precooled tubes and cryopulverized
PXD050994	developmental stage	adult	medium	publication PMC11628585	At 8 months of age, a terminal experiment was performed.
PXD051011	disease	normal	high	publication PMC11871314	The proteomic analysis was performed on 10 autopsied human heart specimens collected from healthy adults.
PXD051011	developmental stage	adult	high	publication PMC11871314	The proteomic analysis was performed on 10 autopsied human heart specimens collected from healthy adults.
PXD051201	age	57Y-84Y	medium	publication PMC12502187	The patient’s age ranged between 57 and 84 years old at the time of AVR
PXD051582	organism part	heart right ventricle	high	sample processing protocol	the right ventricle was excised and snap frozen in liquid nitrogen
PXD051715	developmental stage	adult	medium	sample processing protocol	Frozen heart samples from young (3 mo.) and old (22 mo.) mice after 5 weeks of hit-stress were lysed in urea buffer
PXD053037	cell type	cardiac muscle cell	medium	PRIDE sample processing protocol PXD053037	Left ventricular myocytes of five mice one and four weeks post-sham vs. post-TAC surgery were isolated as described above
PXD053721	developmental stage	adult	medium	PRIDE project description PXD053721	In patients undergoing left-ventricular assist device implantation, preserved myocardial substrate preference was associated with a favorable myocardial response upon mechanical circulatory support.
PXD054079	organism part	heart ventricle	high	PRIDE sample processing protocol PXD054079	Python ventricular tissue (n = 2 independently prepared samples per python ventricle and 2 pythons per feeding timepoint) was pulverized while frozen
PXD056556	developmental stage	neonate	high	PRIDE project description	This study assessed the impact of ROR2 expression on the global proteome using neonatal rat ventricular myocytes (NRVMs)
PXD056556	cell type	cardiac muscle cell	high	PRIDE project description	This study assessed the impact of ROR2 expression on the global proteome using neonatal rat ventricular myocytes (NRVMs)
PXD057325	organism part	heart left ventricle	high	PRIDE sample processing protocol	After ~10 weeks of treatment, mice were euthanised and the LV was collected, perfused, snap-frozen, and cryogenically ground.
PXD057325	developmental stage	adult	high	PRIDE project description	Previously, we have developed a polypharmacy murine model whereby young (4 months) and old (23 months) healthy C57BL/6JArc mice of both sexes were randomised to either polypharmacy or control.
PXD057325	strain or breed	C57BL/6JArc	high	PRIDE project description	Previously, we have developed a polypharmacy murine model whereby young (4 months) and old (23 months) healthy C57BL/6JArc mice of both sexes were randomised to either polypharmacy or control.
PXD057325	disease	normal	medium	PRIDE project description	Previously, we have developed a polypharmacy murine model whereby young (4 months) and old (23 months) healthy C57BL/6JArc mice of both sexes were randomised to either polypharmacy or control.
PXD057532	sex	male	high	publication PMC13080239 (cue sentences in bundle)	From the age of five weeks, male black 6 mice (C57BL/6JRj, Janvier Labs, Saint Berthevin Cedex, France) received either a standard diet in the control group (Black6 SD)
PXD057532	developmental stage	adult	high	publication PMC13080239 (cue sentences in bundle)	At the end of the dietary intervention, mice (18–22 weeks of age) were sacrificed in the morning
PXD057532	age	18W-22W	medium	publication PMC13080239 (cue sentences in bundle)	At the end of the dietary intervention, mice (18–22 weeks of age) were sacrificed in the morning
PXD058012	sex	male	high	publication PMC12371761 (cue sentences in bundle)	Male animals were anesthetized with 4% isoflurane
PXD058012	organism part	heart left ventricle	high	PRIDE sample processing protocol	The left ventricle of each guinea pig heart was homogenized with a handheld Polytron tissue disrupter
PXD058165	organism part	heart left ventricle	high	PRIDE project description	Finally mice were sacrificed, left ventricular tissue harvested, snapfrozen in liquid nitrogen and stored at -80°C until protein isolation.
PXD058165	disease	heart failure with preserved ejection fraction	low	PRIDE project description	Mice were fed for 15 weeks with high fat diet combined with endothelial nitric oxide synthase inhibitor (L-NAME).
PXD059000	disease	AL amyloidosis	high	PRIDE project description	We identified the protein in purified AL amyloid fibrils extracted from heart tissues from transgenic mice developing AL amyloidosis.
PXD060109	developmental stage	adult	high	PRIDE sample processing protocol	Membranes were prepared from snap-frozen tissues isolated from adult mice as described in [Schwenk, J.
PXD060259	strain or breed	C57BL/6J	high	publication PMC13031966	Adult sex-mixed WT and dysferlin-KO 10 mice in the C57BL/6J background for at least 10 generations, aged 8 to 16 weeks and at a bodyweight of 17.
PXD060259	developmental stage	adult	high	publication PMC13031966	Adult sex-mixed WT and dysferlin-KO 10 mice in the C57BL/6J background for at least 10 generations, aged 8 to 16 weeks and at a bodyweight of 17.
PXD060259	age	8W-16W	medium	publication PMC13031966	Adult sex-mixed WT and dysferlin-KO 10 mice in the C57BL/6J background for at least 10 generations, aged 8 to 16 weeks and at a bodyweight of 17.
PXD060307	developmental stage	neonate	high	publication PMC12455015	Mouse OPCs were isolated from enzymatically dissociated P2‐P4 old CD‐1 (wild type strain) mice brains.
PXD060307	cell type	oligodendrocyte precursor cell	high	publication PMC12455015	Mouse OPCs were isolated from enzymatically dissociated P2‐P4 old CD‐1 (wild type strain) mice brains.
PXD060417	organism part	abdominal aorta	high	PRIDE title / publication PMC12743587	we decided to focus only bulk thrombus‐resected aortic wall tissue
PXD060417	disease	abdominal aortic aneurysm	high	publication PMC12743587	Three samples from three distinct AAA patients (B, D, and E) were homogenized with different LBs (RIPA, Urea/thiourea, and HEPES).
PXD060431	developmental stage	adult	medium	PRIDE sample processing protocol	Right ventricular (RV) septum control tissue was obtained from donors whose hearts were not used for transplant primarily due to age through a collaboration with the University of Pennsylvania under an IRB-approved protocol .
PXD061501	strain or breed	C57BL/6N	high	PRIDE sample processing protocol	This is a pilot study including 32 six-week-old female and 32 six-week-old male C57BL/6N mice (Charles River Laboratories, Calco, Italy).
PXD061501	age	21W	high	PRIDE sample processing protocol	At the age of 21 W, mice were sacrificed by exposure to atmosphere saturation of carbon dioxide.
PXD061501	developmental stage	adult	high	PRIDE sample processing protocol	At the age of 21 W, mice were sacrificed by exposure to atmosphere saturation of carbon dioxide.
PXD062798	organism part	heart valve	high	PRIDE project description	Here, we develop a protocol to generate 3-dimensional human heart valve tissues from pluripotent stem cells with enhanced maturational properties closely mirroring the valve interstitial cell and extracellular matrix profile of native heart valves.
PXD062798	cell type	valve interstitial cell	medium	PRIDE project description	Here, we develop a protocol to generate 3-dimensional human heart valve tissues from pluripotent stem cells with enhanced maturational properties closely mirroring the valve interstitial cell and extracellular matrix profile of native heart valves.
PXD064296	disease	immunoglobulin light chain amyloidosis	high	PRIDE project description	Structural characterization of an amyloid fibril from a patient afected by cardiac light chain amyloidosis.
PXD064499	developmental stage	adult	high	PRIDE title	Pro-regenerative fingerprints identified in a sub-population of adult mouse cardiomyocytes by integrative single-cell proteomics-Pilot dataset
PXD064499	cell type	cardiac muscle cell	high	PRIDE sample processing protocol	Single cardiomyocytes have been isolated with a manual optimized procedure.
PXD065331	organism part	heart left ventricle	high	PRIDE sample processing protocol	Frozen left ventricular heart tissue samples were placed into precooled tubes and cryopulverized in a CP02 Automated Dry Pulverizer (Covaris, Woburn, MA, USA) with an impact level of 5 according to the manufacturer’s instructions.
PXD065331	strain or breed	German Landrace	medium	publication PMC12804299	Twenty-six 12-week-old INS C94Y transgenic ( INS C94Y ) pigs on a German Landrace background and fifteen age-matched wild-type (WT) littermates of either sex entered this study
PXD065331	age	8M-9M	medium	publication PMC12804299	Hemodynamic assessment At 8–9 months of age, animals were sedated as described above
PXD066108	sex	female	high	PRIDE project description	Here, we generated and analyzed multi-omics data, including transcriptome, proteome, and metabolome, from 30 tissues of 17 female rhesus macaques (Macaca mulatta) aged 3 to 27 years.
PXD066795	disease	atrial fibrillation	high	PRIDE title	Structural characterization of atrial natriuretic peptide amyloid fibrils from patients with atrial fibrillation
PXD066795	organism part	cardiac atrium	medium	PRIDE project description	Isolated atrial amyloidosis (IAA) is a localized cardiac disorder characterized by atrial natriuretic peptide (ANP) amyloids deposition in the atria, linked to aging and atrial fibrillation (AF).
PXD066926	developmental stage	adult	medium	PRIDE project description	This study establishes a spatially resolved quantitative proteomic atlas across multiple murine cardiac regions at three aging stages (3, 12, and 20 months).
PXD067090	sex	male	high	publication PMC13279018	To reduce biological variability, only male mice were included, given that the HCM phenotype manifests more predominantly in male mice.
PXD067090	organism part	heart left ventricle	high	publication PMC13279018	For proteomic analysis, left ventricular tissue was obtained from n = 11 WT, n = 11 α-MHC 719/+ , n = 4 α-MHC 719/+ + pio, and n = 6 α-MHC 719/+ + R-pio mice, with each sample derived from an individual heart.
PXD067090	strain or breed	129/SvEv	medium	publication PMC13279018	Age- and sex-matched untreated WT littermates on the same 129/SvEv genetic background served as controls.
PXD067090	developmental stage	adult	medium	publication PMC13279018	This treatment induces a robust HCM phenotype in α-MHC 719/+ mice, with histologically and functionally detectable myocardial remodeling by 12 weeks of age.
PXD067097	strain or breed	Yorkshire	high	publication PMC13323166	Yorkshire pigs (weight, 30–35 kg; age, 3–4 months; mixed sex) were anesthetized and intubated, with anesthesia maintained using inhaled isoflurane (3%–5%) and intravenous fentanyl (5–20 μg/kg per hour) as needed.
PXD067097	developmental stage	juvenile	medium	publication PMC13323166	Yorkshire pigs (weight, 30–35 kg; age, 3–4 months; mixed sex) were anesthetized and intubated, with anesthesia maintained using inhaled isoflurane (3%–5%) and intravenous fentanyl (5–20 μg/kg per hour) as needed.
PXD067097	age	3M-4M	medium	publication PMC13323166	Yorkshire pigs (weight, 30–35 kg; age, 3–4 months; mixed sex) were anesthetized and intubated, with anesthesia maintained using inhaled isoflurane (3%–5%) and intravenous fentanyl (5–20 μg/kg per hour) as needed.
PXD069110	sex	male	high	publication PMC12781752	The rabbits were divided into three groups (six male rabbits per group)
PXD069110	strain or breed	New Zealand White	high	publication PMC12781752	Male New Zealand White rabbits (≈ 2.0–2.5 kg) were purchased from Hui-Jun Rabbit Farm, Changhua County, Taiwan
PXD069685	strain or breed	C57BL/6J	high	publication PMC13108437	Mice were maintained on a C57/BL6J genetic background.
PXD072759	cell type	macrophage	high	PRIDE sample processing protocol	Cardiac macrophages were quickly homogenized in phenol extraction buffer and then treated with lysate solution containg 5mM DTT.
PXD072759	developmental stage	adult	medium	publication PMC13246753	Wild-type (WT) C57BL/6J mice aged 7–8 weeks were used in the experiments.
PXD072759	strain or breed	C57BL/6J	medium	publication PMC13246753	Wild-type (WT) C57BL/6J mice aged 7–8 weeks were used in the experiments.
PXD073686	cell type	pancreatic stellate cell	high	PRIDE project description	ECM deposited by pancreatic stellate cells (PSCs) in the presence of TGFb stimulation under 4, 1, or 0.4mM glutamine (Q) was profiled.
PXD073863	organism part	heart left ventricle	high	PRIDE sample processing protocol	Frozen left ventricle tissue samples were cryo-pulverized using the Covaris CP02 CryoPrep Pulverizer with an impact level of 1.
PXD074496	sex	male	high	publication PMC13243569	The male C57BL/6 mice weight 18-22 g were obtained from GemPharmatech (Nanjing, China).
PXD074496	strain or breed	C57BL/6	high	publication PMC13243569	The male C57BL/6 mice weight 18-22 g were obtained from GemPharmatech (Nanjing, China).
PXD076291	organism part	not applicable	high	PRIDE sample processing protocol PXD076291	Proteins were extracted from H9c2 cells and quantified using a bicinchoninic acid (BCA) assay.
PXD076291	cell type	cardiomyoblast	high	publication PMC13243507	For the in vitro model, rat cardiomyoblast H9c2 cells (Procell Life Science, Wuhan, China) were cultured in Dulbecco's Modified Eagle Medium (DMEM) supplemented with 10% fetal bovine serum (FBS).
PXD076291	cell line	H9c2	high	PRIDE sample processing protocol PXD076291	Proteins were extracted from H9c2 cells and quantified using a bicinchoninic acid (BCA) assay.
PXD079292	disease	hypertrophic cardiomyopathy	high	PRIDE project description PXD079292	This project investigates myocardial tissue proteomic remodeling associated with cardiac magnetic resonance-defined late gadolinium enhancement burden in patients with hypertrophic cardiomyopathy.
PXD079292	organism part	interventricular septum	high	PRIDE sample processing protocol PXD079292	Human myocardial tissue samples were collected from septal myectomy specimens obtained during surgery and immediately snap-frozen in liquid nitrogen after excision.
PXD082534	disease	heart failure	high	publication PMC12643554	We performed liquid chromatography-mass spectrometry on myocardial samples from heart transplant recipients, including 14 BTT cases and 10 bridge to recovery (BTR) cases, excluding patients with myocarditis.
PXD082534	organism part	heart left ventricle	high	PRIDE sample processing protocol PXD082534	The myocardial tissues were sampled from the apex of the left ventricle at LVAD implantation (Pre-LVAD samples; indicated as “C”).
