accession	severity	column	current_value	defect	evidence_quote
PXD021261	minor	characteristics[organism part]	heart	every specimen in both arms is left-ventricular myocardium, so 'heart' is less precise than the evidence allows	we subjected left-ventricular tissue specimens collected from control or failing human hearts to comprehensive mass spectrometry-based redox and quantitative proteomics
PXD021261	minor	characteristics[sex]	column absent	the SDRF carries no sex column although the publication states all 25 donors (failing and non-failing) were male	( n = 15 males, mean age = 63 ± 4 years, mean body mass index (BMI) = 25 ± 8, mean left-ventricular ejection fraction (EF) = 30 ± 11%, body mass index () and nonfailing human control hearts ( n = 10 males
PXD021640	minor	characteristics[organism part]	heart	in all four groups only the left ventricle was dissected and homogenised, so 'heart left ventricle' is the supported value	In all 4 groups (Sham, Isch, I/R1, I/R24), left ventricle (LV) was separated from septum and right ventricle, weighed, cut in small pieces, immediately frozen in liquid nitrogen and kept in −80 °C until use.
PXD022091	blocker	characteristics[organism part]	heart	no heart tissue was sampled; the material is hiPSC-derived cardiac progenitors and HEK293 cells in culture, so 'heart' on all 22 rows asserts an organ that was never dissected and hides that part of the deposit is an embryonic-kidney cell line	WT, GATA4-KO and TBX5-KO hIPSC derived CPs or HEK293 cells transfected the indicated expression vectors following manufacturer instructions were lysed in Cell Lysis buffer
PXD022091	blocker	characteristics[cell type]	cardiac muscle cell	'cardiac muscle cell' is asserted on all 22 rows, but the cardiac material is cardiac progenitors (not cardiomyocytes) and the remaining rows are HEK293, a human embryonic kidney line	Defining their interactomes in human cardiac progenitors via affinity purification-mass spectrometry and integrating the results with genetic data from the Pediatric Cardiac Genomic Consortium (PCGC) revealed an enrichment of de novo variants among proteins that interact with GATA4 or TBX5.
PXD022091	important	characteristics[cell line]	column absent	HEK293 rows carry no cell line annotation, so a cultured cell line is presented as primary cardiac material	WT, GATA4-KO and TBX5-KO hIPSC derived CPs or HEK293 cells transfected the indicated expression vectors following manufacturer instructions were lysed in Cell Lysis buffer
PXD022455	important	characteristics[cell type]	cardiac muscle cell	no cells were isolated; the material is subcellular membrane fractions (crude microsomes, MedSR, HighSR) prepared from whole left-ventricular tissue, which contains non-myocyte cells too, so 'cardiac muscle cell' overstates the preparation on all 72 rows	of each of three dog cardiac microsomal fractions were analyzed: crude cardiac microsomes (MV), MedSR, and HighSR membranes.
PXD022455	minor	characteristics[organism part]	heart	the tissue source is left ventricle specifically	Cardiac microsomes were isolated from female mongrel dog left ventricular tissue, and loaded with Ca oxalate as previously described, with minor modifications [ 5 ].
PXD022689	minor	characteristics[material type]	tissue	the analysed material is interfibrillar mitochondria purified from perfused hearts, i.e. a subcellular fraction rather than tissue; 'organelle'/subcellular fraction would be more accurate	Mitochondria were isolated from the hearts.
PXD022689	minor	characteristics[disease]	not available	one of the 17 rows is left 'not available'/'unassigned' while the other 16 are mapped by phenotype; that row should be resolved or removed rather than left half-annotated	Isolated hearts from wild type (WT) or CPNS1 KO mice underwent 25 min in vitro global ISC and 30 min REP.
PXD022719	important	PRIDE_DISEASES	Tricuspid valve disease (submitter dropdown)	Warning against future broadcast: PRIDE lists 'tricuspid valve disease' for the whole deposit, but half the MS samples are control sheep. This dropdown must not be copied onto all rows.	We incubated a total of six samples (3 CTL and 3 TIC) with mild agitation
PXD022719	minor	characteristics[organism part]	heart	The material is tricuspid valve anterior leaflet (TVAL) tissue, not myocardium; 'heart valve' or 'tricuspid valve' would be the accurate organism part. Not a false claim, but imprecise.	We used TVAL fragments without consideration of localization/region for high-throughput mass spectrometry analyses.
PXD022719	minor	characteristics[biological replicate]	1 on all 18 rows	Six independent animals (3 CTL + 3 TIC) were processed; all 18 rows being biological replicate '1' collapses six distinct animals into one replicate.	We incubated a total of six samples (3 CTL and 3 TIC) with mild agitation
PXD022855	minor	characteristics[organism part]	heart	The analysed material is a mitochondria-enriched membrane fraction from heart, not whole heart tissue; 'heart' as source organ is acceptable but the material type is a subcellular fraction.	Mitochondria enriched membranes from 5 mg heart were resuspended in 35
PXD023570	minor	characteristics[organism part]	heart	The deposit mixes heart-derived extracellular vesicle preparations with in-depth whole-heart proteome runs; 'heart' is right as the source organ but the rows are not all the same material type, and none is captured by a material type/enrichment annotation.	Protein samples (heart-derived EVs and in-depth heart proteome) were digested with trypsin
PXD024500	minor	PRIDE_DISEASES	Myocardial ischemia (submitter dropdown)	Warning against future broadcast: the MS samples are acetyl-lysine immunoprecipitates from subsarcolemmal and interfibrillar mitochondria of control and diabetic rat hearts. Ischaemia was an ex vivo/isolated-mitochondria manipulation, not the condition of the deposited samples, so 'myocardial ischemia' must not be written onto the rows. Current SDRF correctly leaves disease as 'not available'.	Acetylation of AAC in SSM and IFM was assessed using mass spectrometry, following immunoprecipitation using an anti-acetyl lysine antibody
PXD024500	minor	characteristics[organism part]	Cardiac muscle tissue	The analysed material is isolated cardiac mitochondria (SSM and IFM populations) rather than cardiac muscle tissue; the source organ is right but the material is a subcellular fraction, and the SSM/IFM split (source names ...s vs ...i) is not represented in the SDRF.	Subsarcolemmal and IFM cardiac mitochondria were respired under state 3
PXD024525	minor	characteristics[organism part]	heart	Every MS sample is left ventricular tissue, so 'left ventricle' would be the accurate organism part; 'heart' is not wrong, only imprecise.	Frozen left ventricles from individual mice were homogenized separately using Precellys 24
PXD024525	minor	characteristics[biological replicate]	1 on all 242 rows	Twenty-two animals (twelve SHAM, ten TAC) contributed proteome and phosphoproteome runs, each further split into 12 high-pH fractions; collapsing all 242 rows to biological replicate '1' hides the animal structure.	A total of twelve SHAM and ten TAC animals completed the experimental protocol
PXD024633	important	characteristics[organism part]	heart on all 10 rows	The study isolated mitochondria from hearts AND livers and profiled both organs; PRIDE lists only 'Heart' for the deposit. Unless the raw file names confirm that all 10 runs are cardiac, 'heart' may be broadcast onto liver mitochondrial runs. This needs verification against the raw file list before the value is trusted.	Mitochondria were collected from homogenized hearts and livers and isolated by differential centrifugation
PXD024633	minor	characteristics[organism part]	heart	Even for the cardiac runs the analysed material is isolated mitochondria rather than heart tissue; the source organ is correct but the material is a subcellular fraction.	Mitochondria were collected from homogenized hearts and livers and isolated by differential centrifugation
PXD025002	minor	characteristics[developmental stage]	adult	'adult' asserted on all 89 rows although neither title, description, sample protocol nor any publication text states patient age or adulthood; it is a plausible inference from surgical AVR, not stated evidence	We compared abundances of ECM proteins from excised valve tissues of 88 patients with isolated AVD of normal tricuspid (TAV) and congenital bicuspid aortic valves (BAV) by employing a new method for protein preparation and quantitative mass-spectrometry analysis.
PXD025096	important	characteristics[disease]	normal (7 rows) / phenotype 'control mitral valve'	7 of 27 rows are annotated as healthy control mitral valves, but neither the PRIDE record nor the sample protocol mentions any control group - the deposit is described as 27 MV pieces from a cohort of IMR patients only	MVs were obtained by the Cardiothoracic Surgical Trials Network from 17 patients with ischemic mitral regurgitation (IMR).
PXD025096	minor	characteristics[developmental stage]	adult	'adult' on all 27 rows is not stated anywhere in the bundle; inferred from the surgical cohort	Each piece of frozen MV (n=27) was pulverized in liquid nitrogen, then sonicated in RIPA buffer (Pierce, 89900) complemented with 1% protease inhibitor cocktail.
PXD025593	minor	characteristics[organism part]	heart	The deposit mixes mechanically isolated heart extracellular vesicle preparations with in-depth whole-heart proteome runs; 'heart' is right as the source organ but no material type distinguishes EV preparations from tissue lysates.	Protein samples (heart-derived EVs and in-depth heart proteome) were digested with trypsin
PXD026608	minor	characteristics[biological replicate]	1	All 12 rows carry biological replicate 1 although the deposit is 4 groups x 3 independent animals, so the replicate structure is lost.	Each group included three samples.
PXD027622	minor	characteristics[organism part]	heart	The analysed material is an anti-FLAG immunoprecipitate (interactome pull-down) from heart lysate rather than bulk heart tissue; 'heart' is the correct source organ but the SDRF records no enrichment/material type, so rows read as whole-tissue proteomes.	100 mg of whole protein extract was incubated with an anti-FLAG antibody coupled in agarose beads (Sigma-Aldrich)
PXD027811	minor	characteristics[organism part]	heart	Material is extracellular vesicles isolated from Langendorff perfusate, not heart tissue; the heart is the source organ but the SDRF gives no indication the analyte is an EV preparation.	Heart-derived EVs were obtained using Langendorff heart preparations in conjunction with their biophysical characterisation and quantitative proteomic analysis.
PXD027867	minor	characteristics[organism part]	heart	Only the left ventricle was collected and processed, so 'heart' is less precise than the evidence supports.	Ventricular heart tissue of each sample (3 mg) was mixed with 150 µL of lysis buffer
PXD029031	minor	characteristics[organism part]	Heart	Sampled material is left ventricular apical tissue, so 'Heart' is less precise than the protocol supports (value is also capitalised, unlike the rest of the collection).	left ventricular apical tissue sampled from three different groups were performed
PXD029031	minor	factor value[organism part]	Heart	factor value[organism part] is constant across all 12 rows, so it encodes no experimental factor; the actual factor is the three-group Normal/HFpEF/canagliflozin design.	The proteomics experiment and the targeted nanoLC
PXD030857	important	characteristics[organism part]	aorta	'aorta' is asserted on all 24 rows, but only the stable-plaque samples are aortic arch; the unstable-plaque and healthy-control samples are right and left carotid artery	ApoE-/- mice on a C57BL/6J background that had received TS surgery and kept on a high fat diet (HFD) were euthanized and perfused with PBS, then vessel segments (unstable plaque right carotid, healthy plaque-free left carotid and stable plaque aortic arch) were dissected from animals.
PXD030938	important	characteristics[cell type]	cardiocyte	The analysed material is bulk left ventricular tissue homogenate, not isolated cardiomyocytes; 'cardiocyte' appears to have been copied from the submitter's PRIDE dropdown and asserts a cell-type purification that never happened.	Left ventricular cardiac tissue was pulverized in liquid nitrogen, homogenized on ice in urea buffer (7 M urea, 2 M thiourea, 20 mM Tris base, pH 8.5)
PXD030938	minor	characteristics[organism part]	heart	Only left ventricle was analysed (right ventricle free wall was separated away), so 'heart' understates the evidence.	Explanted hearts were washed in ice-cold saline solution and left ventricles (LV) were separated from the free wall right ventricle and immediately frozen in liquid nitrogen.
PXD031223	minor	characteristics[organism part]	heart	The analysed material is decellularized cardiac extracellular matrix (with fibroblasts re-attached), not intact heart tissue; the SDRF records nothing about the decellularization.	Heart tissues were decellularized using the decellularization buffer followed by attachment of fibroblasts in media.
PXD031617	minor	characteristics[phenotype]	transverse aortic constriction (pressure overload)	the raw file names only say PO/SHAM (pressure overload); the publication describes isoproterenol minipump and LAD-ligation models and never states that transverse aortic constriction was performed, so 'transverse aortic constriction' is an unsupported specific surgical method added on top of the supported 'pressure overload'	Our results show that lysine methylation at this site is regulated in a biphasic manner leading to increased H420 trimethylation during acute hypertrophic stress and decreased H4K20 trimethylation during sustained ischemic injury and cardiac dysfunction.
PXD032157	blocker	characteristics[organism part]	Atrium	this is Anopheles gambiae, and 'atrium' here is the female mosquito reproductive-tract atrium, not a cardiac atrium; the dataset contains no heart material at all and appears to have been swept into the heart collection purely because the submitter picked BTO:0000903 'Atrium'	At 3, 12 and 24 hpm, the atrium of 45–55 mated females was dissected into ammonium bicarbonate buffer (pH 7.8), and homogenized with a pestle.
PXD032157	important	characteristics[organism part]	Atrium	at least two of the 12 rows are male accessory gland (MAGs) preparations, not atrium; their source names carry 'MAGs' while the organism part column says Atrium on every row	22Oct2014-Anopheles-8-MAGs-S-02
PXD032267	important	characteristics[disease]	systolic heart failure	the diGLY-proteomed hearts were taken 4 weeks after TAC, a time point the paper describes as showing only the beginnings of impaired ventricular performance; the reduced ejection fraction that would justify 'systolic heart failure' is documented at 8 weeks in a different cohort, so the diagnosis overstates what the deposited samples show	we studied mouse hearts 4 weeks after TAC, a time point coinciding with an approximately 50% increase in LV mass
PXD032267	minor	characteristics[disease]	normal	three of the six 'normal' rows are Isg15-/- knockout animals; the genotype is captured in characteristics[phenotype] but 'normal' as a disease value hides that these are genetically modified mice	Hearts(left ventricles) were harvested from control wildtype and ISG15 knockout mice and wildtype and ISG15 knockout mice 4 weeks after pressure overload induced by transverse aortic constriction.
PXD032667	blocker	characteristics[disease]	heart failure	'heart failure' is asserted on all 150 rows. The study is a mouse takotsubo (stress-induced cardiomyopathy) model, which the description explicitly distinguishes from acute coronary syndrome and describes as apparently reversible; heart failure is a different diagnosis and comes only from the submitter's PRIDE disease dropdown	Takotsubo syndrome is a stress-induced cardiomyopathy with symptoms comparable to those of acute coronary syndrome but without coronary obstruction.
PXD032667	blocker	characteristics[disease]	heart failure	the design compares hearts after a single acute stress against unstressed animals at acute and late recovery time points, so a uniform disease value across all 150 rows necessarily broadcasts a diagnosis onto the control animals	Here we explore comprehensively cardiac metabolism, structure and function after a single acute stress.
PXD032667	minor	factor value[disease]	heart failure	the declared factor value is constant across all 150 rows, so it encodes no experimental factor at all; the actual factor is stress vs control (and time point)	Here we explore comprehensively cardiac metabolism, structure and function after a single acute stress.
PXD033029	blocker	characteristics[organism part]	Heart	the deposit title and the sample processing protocol both say the material is liver (mitochondrial-enriched fraction); 'Heart' comes only from the submitter's PRIDE organism-part dropdown and from the keyword list, and is contradicted by the title and protocol	TITLE: Mouse PolG Mutant Liver Proteome
PXD033029	important	factor value[organism part]	Heart	the same unsupported organism part is repeated as the declared factor value on all 3 rows	Understand mitochondrial DNA polymerase mutated in context of liver/orgfan/cell function.
PXD033773	blocker	characteristics[organism part]	Fetal cardiomyocyte	all 17 rows are annotated as fetal cardiomyocyte, but the study used neonatal (2-day-old pup) and adult rat ventricular myocytes; no fetal material was collected. 'Fetal cardiomyocyte' is also a cell type, not an organism part.	Neonatal rat ventricular myocytes (NRVMs) from 2-days-old Sprague-Dawley pups were isolated as described before.
PXD033773	important	factor value[organism part]	Fetal cardiomyocyte	the factor value repeats the same incorrect fetal claim on all 17 rows and is constant, so it cannot be the experimental factor (the actual factors are PDE isoform IP vs mCherry control and PDE inhibitor treatment)	Adult ventricular myocytes (AVRMs) were treated with 1) isoproterenol (ISO) (control group) 2) ISO and BAY60-7550, or 3) ISO and cilostamide.
PXD033876	minor	characteristics[organism part]	heart	every sample is specifically left ventricular myocardium; 'heart' is correct but loses the ventricle-level precision that the title and description state for all rows	Protein expression profiles were analyzed in HFpEF and non-HFpEF human left ventricular myocardium biopsy samples.
PXD033908	minor	characteristics[organism part]	heart	the deposit is exclusively human left ventricular tissue, so 'heart' is imprecise for all 45 rows	gel electrophoresis followed by ELC specific immunoblot (IB) was performed to detect the ELC phosphorylation pattern of human left ventricular tissue
PXD034477	important	characteristics[organism part]	heart	the deposit title describes a hepatic Mtfp1 deletion / liver-disease study, which conflicts with 'heart' on all 40 rows; only the sample-processing protocol mentions heart extracts, so the tissue identity of these raw files should be re-verified against the submitted file names before the heart annotation is trusted	Hepatic deletion of Mtfp1 enhances oxidative phosphorylation and cell death resistance to confer protection against liver disease _ REVISION
PXD034477	minor	characteristics[disease]	normal	'normal' is asserted on all 40 rows including the 20 cardiomyocyte-specific Mtfp1 knockout rows, whose genotype causes dilated cardiomyopathy; it is defensible only because the samples are stated to be pre-symptomatic, and that age claim comes from the SDRF itself rather than from any evidence in the bundle	Constitutive knockout of cardiomyocyte MTFP1 in mice resulted in adult-onset dilated cardiomyopathy (DCM) characterized by sterile inflammation and cardiac fibrosis that progressed to heart failure and middle-aged death.
PXD035622	minor	characteristics[disease]	'normal' x12 / 'heart failure' x12	the per-row split into sham and TAC arms cannot be verified from any file in the evidence bundle (source names are generic PXD035622-Sample-N and no file-to-arm key is published); the sibling deposit PXD035712 carries the same 12/12 split in the opposite row order, so the mapping should be re-derived from the raw file names	100 µg of mitochondria pellet from each of 6 TAC animals and sham animals were solubilized in 8 M Urea 100 mM NH4HCO3, pH 8.0 buffer, followed by reduction with 5mM TCEP, alkylation with 10 mM IAA, 1:4 dilution with 100 mM NH4HCO3, pH 8.0, and then overnight digestion with trypsin.
PXD035712	minor	characteristics[disease]	'heart failure' x12 / 'normal' x12	the per-row split into TAC and sham arms cannot be verified from any file in the evidence bundle (source names are generic PXD035712-Sample-N and no file-to-arm key is published); the sibling deposit PXD035622 carries the same 12/12 split in the opposite row order, so the mapping should be re-derived from the raw file names	100 µg of mitochondria pellet from each of 6 TAC animals and sham animals were solubilized in 8 M Urea 100 mM NH4HCO3, pH 8.0 buffer, followed by reduction with 5mM TCEP, alkylation with 10 mM IAA, 1:4 dilution with 100 mM NH4HCO3, pH 8.0, and then overnight digestion with trypsin.
PXD035734	important	characteristics[organism part]	Cardiomyocyte cell line	material is hPSC-derived cardiomyocytes differentiated in vitro, not an immortalised cardiomyocyte cell line; the value is also a cell-type/cell-line term placed in the organism part field on all 10 rows	Both sarcomeric organization and calcium kinetics were disrupted in ALPK3 deficient hPSC derived cardiomyocytes.
PXD035880	minor	characteristics[organism part]	heart	samples are ultrapure Percoll-gradient mitochondrial fractions isolated from heart, not whole heart tissue; the SDRF records no subcellular fractionation	Mitochondria were isolated from mouse hearts using differential centrifugation
PXD036259	minor	characteristics[disease]	obesity	the ZSF1 obese arm is the HFpEF (heart failure with preserved ejection fraction) model group, so labelling those 3 rows only as obesity understates the cardiac phenotype the deposit exists to study	The ZSF1 rat is available as a lean (no HFpEF) and an obese variant (HFpEF), which have almost the same genetic background.
PXD036364	minor	characteristics[organism part]	heart	the deposit sampled left ventricular tissue specifically, so heart is imprecise on all 9 rows	Left ventricular tissue was excised from 9 mice
PXD036399	minor	characteristics[organism part]	myocardium	the description states whole heart was analysed, which is broader than myocardium	we performed whole heart proteomic analyses in both WT and NDUFS4 heart-specific cKO mice (n = 5 mice/group).
PXD036399	minor	source name	PXD036399-Sample-1 .. PXD036399-Sample-27	7 of the 27 rows are pooled DDA spectral-library runs (200713_Eclipse_BenP_Lusis_DDA*.raw), not distinct biological samples, yet are annotated identically to the 20 sample runs	we performed whole heart proteomic analyses in both WT and NDUFS4 heart-specific cKO mice (n = 5 mice/group).
PXD037524	minor	source name	PXD037524-Sample-25 .. PXD037524-Sample-30	the six E2_ColID328_2696_P1..P6 runs are pooled gas-phase-fraction spectral-library acquisitions, not individual biological samples, but are annotated as if they were samples	Aliquots from each sample were pooled and the pool was used for spectrum library generation by narrow window DIA of six 100 m/z gas phase fractions (GPF) covering the range from 400 m/z to 1000 m/z (Searle 2020).
PXD038922	blocker	characteristics[organism part]	Heart	the deposit never sampled heart; all 15 rows are carotid artery tissue from carotid endarterectomies, so 'Heart' (also mirrored into factor value[organism part]) is a false biological claim	Identification of proteins differentially expressed in atherosclerotic human carotid arteries by label-free proteomics
PXD039007	minor	characteristics[organism]	Homo sapiens	The single deposited sample is 19th-century relic debris/dust from the cardiotaph analysed by metaproteomics; most identified taxa are environmental fungi and bacteria, so 'Homo sapiens' as the sole organism describes only part of the material.	Tandem Mass Spectrometry Proteotyping Heart debris and dust fallen to the bottom of the cardiotaph were collected and subjected to tandem mass spectrometry proteotyping.
PXD039144	minor	characteristics[disease]	type 2 diabetes mellitus (3 of 6 rows)	Neither the title, description, sample protocol, PRIDE dropdowns nor the reference (Click-iG glycoproteomics, not open access) mentions diabetes or db/db mice anywhere; the case/control split is supported only by the raw file name tokens 'WT-heart' and 'dbdb-heart'. Defensible but unverifiable from any textual evidence.	We demonstrated Click-iG by identification of thousands of intact glycosites in cell lines and living mice.
PXD039144	minor	characteristics[individual]	6 distinct individuals, biological replicate 1/2/3	The six runs are R1/R2/R3 of one WT and one db/db sample acquired on a single day per condition, which is at least as consistent with replicate injections of two animals as with six individuals; no evidence in the deposit supports six separate individuals.	For Click-iG samples, glycosylated proteins were tagged by metabolic glycan labeling (MGL) and extracted from cells or mouse tissues.
PXD039587	minor	characteristics[organism part]	heart	The single row is a cultured neonatal rat cardiomyocyte preparation (a gel band from an ISO/FGF18 in vitro hypertrophy model), not heart tissue; a cell type of cardiac muscle cell and material type of primary cell would describe it accurately.	NRCMs were treated with ISO (10 μM) in the presence or absence of FGF18 (50 ng/ml) for 48 h.
PXD039613	important	characteristics[organism part]	Fetal cardiomyocyte	No fetal tissue was sampled. All 16 rows are hiPSC-CM runs (source names ..._hiPSCCM_Prot/_Phos); hiPSC-CMs are only described as having fetal-LIKE maturation. 'Fetal cardiomyocyte' is also a cell type, not an organism part, and it is copied straight from the submitter's PRIDE dropdown.	Although there are well-known limitations associated with hiPSC-based models, in particular the immature fetal-like maturation states, our mutant system provides a tractable means to explore the direct molecular and phenotypic consequences of defective MYH7 function at the early stages of pathology.
PXD039613	minor	factor value[organism part]	Fetal cardiomyocyte (all 16 rows)	The factor value is constant across every row, so it encodes no experimental contrast; the study's factor is genotype (WT vs MYH7 R403Q+/-), which is not resolvable per row because of TMT multiplexing.	we first performed liquid chromatography–tandem mass spectrometry (LC/MS)-based global proteomics on 14 paired, isogenic hiPSC-CM samples (7 WT and 7 MYH7 R403Q+/− replicate cultures) ( Figure 1 A).
PXD039662	minor	characteristics[organism part]	left ventricle myocardium	The biopsies were excised from the subaortic interventricular septum; the authors call them LV myocardial samples, so the value is defensible but 'interventricular septum' would be the sampled structure.	Global protein profiling of LV myocardial samples excised from the subaortic interventricular septum in patients with isolated AR or AS undergoing AV surgery was performed using liquid chromatography–electrospray ionization–tandem mass spectrometry.
PXD041056	minor	characteristics[organism part]	heart	Every biopsy is left atrial tissue, and each row is a subcellular fraction (whole tissue lysate, mitochondria or endolysosomal lysate) of it; 'heart' is correct but loses the chamber.	left atrial tissue biopsies from goat hearts
PXD041174	minor	characteristics[disease]	normal	'normal' on all 35 rows is inferred from the use of a commercial aortic SMC lot; the bundle never states the donors were disease-free, though nothing contradicts it either	Human aortic SMCs (PCS-100-012) were cultured in ATCC Vascular Cell Basal Medium, 5% FBS, and 5 mL Penicillin-Streptomycin 100X.
PXD041660	minor	characteristics[organism part]	Heart	the analysed material is decellularized cardiac extracellular matrix (with fibroblasts subsequently seeded on it), not intact myocardium; no material type / cell type column records this	Heart tissues were decellularized using the decellularization buffer followed by attachment of fibroblasts in media.
PXD042904	minor	characteristics[cell type]	not available	every row is the secretome of cultured primary adult cardiac fibroblasts, a defined cell type that the publication names explicitly	Adult murine cardiac fibroblasts were transfected with control or miR-199a-3p mimics and conditioned media was collected and processed for mass-spectrometric analysis.
PXD043108	minor	characteristics[organism part]	heart	the deposit is left ventricular myocardium specifically; 'heart' is correct but imprecise	mass spectrometry was performed on left ventricular tissues
PXD043158	important	characteristics[disease]	systemic primary carnitine deficiency disease	asserted on all 18 rows (and duplicated as factor value[disease]) although nothing in the title, description or protocol states that every deposited sample is from a PCD mouse; the file names split into two distinct animal-ID blocks (12 + 6), which is the signature of a model-vs-control design, and a factor value with a single level cannot be a factor	Possible mechanisms underlying the cardiac phenotype was investigated by proteomics.
PXD043158	minor	characteristics[organism part]	heart	the sampled material is cardiac ventricle, not whole heart	ventricles were frozen in liquid nitrogen
PXD043577	important	characteristics[organism part]	heart	every row is the secretome (conditioned culture medium) of isolated cultured fibroblasts, not myocardial tissue; the SDRF records no cell type and no material type, so the rows read as heart tissue	Proteomic analysis was performed on the conditioned media (supernatant) from Control and Smad7KO fibroblasts after 24 hours of TGFβ1 treatment (10 ng/ml) (n=3 of each condition).
PXD043588	important	comment[label]	NT=label free sample;AC=MS:1002038	the samples were reductive dimethyl (heavy/light) labelled, so the runs are not label free; each of the 4 raw files most likely multiplexes two conditions, which also means no single sex/diet value could describe a row even if a key existed	Next, to label peptide α- and ε-amines, samples were incubated for 18 h at 37°C with isotopically heavy (40 mM 13CD2O+20mM NaBH3CN (sodium cyanoborohydride)) or light labels (40 mM light formaldehyde (CH2O) + 20 mM NaBH3CN).
PXD043601	minor	comment[technical replicate]	1	set to 1 on all 32 rows although the 32 raw files are 16 biological samples each measured twice (the paired file names differ only by an acquisition timestamp suffix)	Each biological sample was analyzed in technical duplicates
PXD044178	minor	characteristics[biological replicate]	1 on all 24 rows	The 24 runs are 2 acquisition series x 4 exposure groups (C, D3, D10, D30) x 3 mice; the file names (EE492LPCrR1_C_1 ... _D30_3, EE492LQ_C_1 ... _D30_3) give a complete run-to-animal key that is not reflected in the replicate column, and no treatment/timepoint column exists.	Mice were euthanatized with a lethal dose of pentobarbital sodium (Sigma-Aldrich Co., St Louis, MO, USA) by intraperitoneal injection in control (C), 3- (D3), 10- (D10), and 30-days’ (D30) high-altitude exposure mice.
PXD044768	important	characteristics[material type]	tissue on all 364 DDA rows and all 60 SWATH rows	Several sampled materials are body fluids, not tissue: amniotic fluid, blood plasma, follicular fluid, saliva and semen are all annotated material type 'tissue'.	When applied to 25 different tissues and body fluids, the resource supported label-free quantification of nearly 30% of the protein-coding genes annotated in bovine section of UniprotKB.
PXD044773	important	characteristics[organism part]	Subventricular zone on all 21 rows	At least 6 runs are cultured cells rather than SVZ tissue - three GBM brain-tumour-initiating-cell runs (QEp21-4295/4300/4305_Norton_GBM_1..3) and three neural stem cell runs (QEp21-4310/4315/4320r_Norton_NSC_1..3). Broadcasting 'Subventricular zone' onto cultured BTIC/NSC samples asserts an anatomical origin the deposit does not support (the value is also capitalised rather than an ontology-style label).	Additionally, interaction with NPCs increases cathepsin B (CTSB) expression in GBM brain tumor initiating cells (BTICs).
PXD044773	important	characteristics[organism]	Homo sapiens on all 21 rows	The deposit is registered for both human and mouse and the study is a cell-specific (MetRS L274G / click chemistry) crosstalk experiment, which is normally run in a mouse host; asserting Homo sapiens on every row is unverified. No publication is linked to the deposit, so the organism of the 15 D/V/P runs cannot be established from the evidence bundle.	'accession': 'NEWT:10090', 'name': 'Mus musculus (mouse)'
PXD044773	minor	characteristics[disease]	not available on all 21 rows	Glioblastoma is documented for part of the deposit but cannot be broadcast to the NSC rows; the column is currently uninformative rather than wrong.	Glioblastoma (GBM) is the most prevalent and aggressive malignant primary brain tumor.
PXD044936	minor	characteristics[organism part]	heart	The material is specifically whole fetal ventricles rather than whole heart; 'heart left ventricle'/'cardiac ventricle' would be more precise, and the missing characteristics[developmental stage] means the rows do not say these are 10-18 week fetal hearts.	We used 6 whole frozen ventricles from 10- and 18- weeks fetal hearts (n=3; n=3).
PXD044957	minor	characteristics[biological replicate]	1 on all 96 rows, all characteristics identical	The 96 runs are two complexome-profiling BNE lanes - 48 fractions of wild-type and 48 of BRAWNIN KO heart mitochondria (files P21_015_Singapur_WT_01..48 and P21_015_Singapur_KO_01..48). The genotype, which is the only experimental variable in the deposit, is not captured in any column although the file names give a complete run-to-sample key.	Here we used complexome to study the composition of supercomplexes in BR KO mouse heart mitochondria.
PXD046385	minor	characteristics[organism part]	Heart	The deposited runs are a BioID2 proximity-labelling pulldown from cultured rat cardiomyocytes, not from heart tissue. 'Heart' is defensible as the tissue of origin but characteristics[cell type] is absent and no material type marks this as cultured primary cells.	In cultured cardiomyocytes, the loss of RPSA led to impaired local protein translation and reduced sarcomere integrity.
PXD046385	minor	factor value[organism part]	Heart	factor value[organism part] is identical ('Heart') on all 6 rows and therefore encodes no experimental factor; the real factor is the BioID2 bait/control group (three samples per group).	three independent samples for each group, each containing 12 million cardiomyocytes
PXD046631	minor	characteristics[organism part]	heart	The protocol states the sampled material is left ventricle specifically; 'heart' is not wrong but is less precise than the evidence supports.	Left ventricular samples were collected in liquid nitrogen and grinded into powder.
PXD047728	minor	characteristics[organism]	Mus musculus	The deposit is internally inconsistent: PRIDE_ORGANISMS and the SDRF say mouse, but the project description is human HFrEF background text and PRIDE_KEYWORDS include 'Human'. The bundle gives no way to resolve which is correct, so the organism claim rests only on the submitter dropdown.	Background: Heart failure with reduced ejection fraction (HFrEF) constitutes half of all heart failure cases
PXD048363	blocker	characteristics[disease]	heart failure	'heart failure' is asserted on all 18 rows, but 6 rows (CS37003-CS37008) are explicitly named Control and are non-HFpEF animals. This is a false biological claim on a third of the deposit.	EXAMPLE source names: CS37003_Control, CS37004_Control, CS37005_Control, CS37006_Control, CS37007_Control, CS37008_Control
PXD048363	minor	characteristics[disease]	heart failure	Even on the 12 HFpEF rows, the study is specifically a heart-failure-with-preserved-ejection-fraction model; the generic 'heart failure' loses the phenotype and, in a mouse model, should be marked as a model rather than a diagnosis.	we show that inhibiting HDAC6 with TYA-018 effectively reverses established heart failure and its associated symptoms in HFpEF mouse models
