accession	field	why_no_value_can_be_written
PXD040488	disease	Two arms: 7 end-stage LMNA cardiomyopathy and 7 ischaemic DCM patients; the sample protocol also mentions control samples from healthy donor hearts. No run-to-patient key in the bundle.
PXD040488	organism part	Each heart was sampled at five sites (LA, LV, RA, RV, IVS); the 66 rows cannot be mapped to a chamber from the evidence, so the parent term 'heart' is the safe value.
PXD040488	sex	Mixed: 4/7 males in the LMNA group and 6/7 in the ICM group.
PXD040488	age	Reported as group medians (42 and 52 years, IQRs) and varying.
PXD040785	disease	Four arms (sedentary/exercised control and sedentary/exercised supravalvar aortic stenosis), 10 rats each; no run-to-animal key, so neither 'normal' nor 'aortic stenosis' holds for every row.
PXD040785	sex	Not stated anywhere in the bundle; no publication text available (PMID=0).
PXD040785	age	Not stated; only the 16-week training period is given.
PXD041056	disease	AF-induced goats (N=3) versus sham controls (N=3); no run-to-animal key in the bundle, so 'atrial fibrillation' cannot be asserted on all 24 rows.
PXD041137	disease	three diet arms - control (chow), progression (high-fat) and regression/cessation; all animals are ApoE-/- so none is a wild-type healthy control
PXD041174	sex	commercial human aortic SMC lot (ATCC PCS-100-012); donor sex not stated
PXD041174	age	donor age not stated
PXD041400	organism part	ten different organs in one deposit; already resolved per row by the source names (brain_1w_F_rep1 etc.)
PXD041400	age	1-week, 4-week and 8-week cohorts; already resolved per row from the source names
PXD041400	sex	F and M animals at every timepoint; already resolved per row from the source names
PXD041660	sex	source/raw-file names carry both _F_ and _M_ animals (mouse_369_F_4mo, mouse_371_M_4mo) and four further files carry no sex label at all
PXD041660	age	four files are labelled 4mo, the four 'Decellulized_Ms_Heart' files carry no age; the title also refers to old hearts
PXD042155	disease	non-diseased donor hearts plus end-stage dilated cardiomyopathy and ischaemic cardiomyopathy arms; source names are generic PXD042155-Sample-N with no run-to-sample key
PXD042155	organism part	left ventricle vs right ventricle is the central comparison of the study but no row-level key is available; 'heart' is the only safe value
PXD043108	disease	wild-type vs dysferlin-knockout arms (plus a TAC keyword); raw-file names only encode DDA fraction / DIA batch letters, no genotype key
PXD043108	age	two age cohorts, 16 weeks and 32 weeks, with no run-to-cohort key
PXD043158	disease	a mouse-model proteomics study of primary carnitine deficiency necessarily contrasts model animals with controls; the 18 raw files split into two unlabelled animal-ID blocks (mouse_361a-372a and mouse_527a-532a) with no genotype key
PXD043577	disease	Control vs myofibroblast-specific Smad7-knockout fibroblasts, each with and without TGF-beta1 stimulation; the in-vivo TAC model is not what was deposited
PXD043588	sex	male and female offspring are the central comparison ('sex-dependent manner'); only 4 raw files, no sex key
PXD043588	disease	iron-restricted vs iron-replete offspring; no run-to-group key
PXD043588	age	postnatal days 4, 14 and 28 cohorts; no run-to-timepoint key
PXD043601	sex	male and female mice were both analysed and sex is the study's central variable
PXD043601	disease	Prdm16csp1/wt monoallelic mutants vs wild-type; raw files are only numbered batch_1_sample_NN with no genotype key
PXD044060	sex	Tissues were pooled/collected from mixed male and female WT mice ('regardless of their sex'); only the testis samples are necessarily male. No run-to-sample sex key exists for the other organs.
PXD044236	sex	Equal numbers of male and female mice were used and there is no run-to-animal sex key.
PXD044236	age	Proteomics was on hearts collected 8 weeks post-injection (echocardiography at 17 weeks of age); the exact age at tissue collection is not stated for the deposited runs.
PXD044253	disease	Three arms, one animal each: MI, TAC and sham. The submitter DOES give a key ('B11 represents the tissues of an aged MI mouse. B17 represents the tissues of an aged TAC mouse. B15 represents the tissues of an aged Sham mouse.') and the raw files are B11-A.raw / B15-A.raw / B17-A.raw, so a per-row assignment is possible: B11-A=myocardial infarction, B17-A=TAC/pressure-overload (sham-operated control for B15-A=normal). No single value holds for all three rows.
PXD044253	age	Mice were 11 months old at purchase and hearts were collected ~5 weeks later (1 week acclimation + 4 weeks post-surgery); exact age at collection is not stated.
PXD044254	disease	Three arms, one animal each: MI, TAC and sham. Submitter key 'B11 represents the tissues of an aged MI mouse. B17 represents the tissues of an aged TAC mouse. B15 represents the tissues of an aged Sham mouse.' maps onto the raw files B11A.raw / B15A.raw / B17A.raw, so no single value holds for all rows.
PXD044254	age	11 months old at purchase, hearts collected ~5 weeks later; exact age at collection not stated.
PXD044768	sex	The tissue panel contains both male-only (testis, epididymis, penis, semen) and female-only (ovary, uterus, uterine cervix, corpus luteum, follicular fluid) material, so sex varies across rows and no per-animal key is given.
PXD044768	age	No ages are stated anywhere in the bundle.
PXD044768	strain or breed	No breed of Bos taurus is stated; only 'University of Queensland School of Veterinary Sciences standard animal husbandry conditions'.
PXD044773	disease	The deposit mixes glioblastoma material (raw files ..._GBM_1/2/3 and the 15 D/V/P samples) with non-tumour neural stem cell samples (..._NSC_1/2/3); no single disease value holds for all 21 rows.
PXD044773	organism	PRIDE registers both Homo sapiens and Mus musculus for this deposit and the cell-specific MetRS L274G labelling design implies an animal host; without the (unpublished/unlinked) paper there is no way to assign organism per run.
PXD044936	age	Two gestational ages are present - 3 hearts at 10 weeks and 3 at 18 weeks of gestation - and the deposited files are named Sample1..sample6 with no run-to-sample key, so neither '10W' nor '18W' can be assigned per row (the obvious 1-3/4-6 split is an assumption, not evidence).
PXD044936	sex	Fetal sex is never reported for the six proteomics samples; the paper notes mRNA variation separated hearts by sex, so the cohort is not single-sex.
PXD044957	disease	48 of the 96 BNE fractions are wild-type and 48 are BRAWNIN (BR) knockout heart mitochondria; the KO is a genetic model of a complex III assembly defect, not a diagnosed disease, so neither 'normal' nor a named disease can be asserted across all rows.
PXD045079	sex	Nothing in the bundle states the sex of the cattle used to prepare the submitochondrial particles.
PXD045079	age	No age given.
PXD045079	strain or breed	No breed given; only 'bovine'.
PXD045079	disease	Health status of the source animals is never stated; the hearts are a standard biochemical starting material.
PXD045677	disease	HFpEF patients vs non-failing donor controls; both arms are deposited. The current SDRF already splits them per row, so no cohort-level value should be broadcast.
PXD045677	sex	mixed cohort; the paper explicitly states sex did not differ between groups, i.e. both sexes present in both arms
PXD045677	age	per-patient ages vary (SDRF already carries 53Y-76Y); no single cohort age
PXD046631	disease	sham, MI 30 min, MI 6 h and I/R 6 h arms are all deposited (data files SHAM_1-3, KLa_SHAM_1-3, MI_30_*, KLa_MI30_*, KLa_MI_6h_*, IR_6h_*); 6 of 18 runs are sham
PXD048078	disease	saline control (CTRL) and doxorubicin (DOX) arms are both deposited; data files are Con1..Con8 and DOX1.. , so ~half the runs are healthy saline-injected controls
PXD048078	age	age at sacrifice is given only approximately ('~22 months old'), so no exact uniform age value
PXD048363	disease	3 arms deposited: 6 Control, 6 HFpEF+vehicle, 6 HFpEF+TYA018 (encoded in the source names). Only 12 of 18 rows are HFpEF animals.
PXD048804	disease	4 genotype arms deposited (data files 001-005 WT, 006-010 Cox10, 011-015 Cox10Opa1d4, 016-020 OPA1d4). WT and Opa1v1delta4 animals are explicitly healthy; only the Cox10-/- arms have mitochondrial cardiomyopathy.
PXD048804	sex	the paper states groups contained animals of both sexes and gives no run-to-animal key
PXD048877	developmental stage	two cohorts are deposited: adult mice after LAD ligation (Agrin/PBS runs) and neonatal P1/P5 hearts after apical resection (AR/Ctr runs). Adult vs neonate cannot be broadcast.
PXD048877	disease	injured arms (Agrin-treated MI hearts, apical-resection hearts) vs controls (PBS-treated, uninjured P5 apex) are both deposited
PXD050504	disease	rofecoxib-treated vs vehicle-treated arms with no run-to-sample key; and neither arm carries a diagnosis -- the study explicitly looks at changes present PRIOR to comorbidities
PXD050610	sex	mixed cohort: nine males among the younger donors and six males among the older donors, no run-to-donor sex key in the bundle
PXD050610	age	two cohorts, 14-25 y (n=12) and 51-65 y (n=13); no single uniform age
PXD050610	developmental stage	younger cohort spans 14-25 y, so it mixes adolescent and adult donors
PXD050994	disease	9 sham-operated control pigs vs 7 pigs with induced chronic kidney disease; no run-to-animal key in the bundle
PXD050994	sex	pigs 'of either sex' -- mixed cohort
PXD051011	sex	mixed cohort, 30.0% females among the 10 donors, no run-to-donor key
PXD051011	age	mean age 33.3 +/- 14.3 years; individual ages not recoverable per raw file
PXD051011	organism part	four different cardiac regions were sampled per heart (sinoatrial node, atrioventricular node, right atrial myocardium, right ventricular myocardium); the specific region varies row to row, so the generic 'heart' should stay unless a per-run key is found
PXD051201	sex	the study design is a 25-men vs 25-women comparison; no run-to-patient sex key in the bundle
PXD051582	disease	pulmonary-artery-banded (RV pressure overload) animals vs sham surgery, and four different cell-therapy arms (MSCs, nCPCs, cCPCs, ES-CPCs); no run-to-animal key
PXD051715	age	two age groups, 3-month-old and 22-month-old mice, with no run-to-animal key
PXD051715	disease	HFpEF is induced by 2-hit (metabolic + hypertensive) stress and the study compares aged vs young animals; the bundle does not let one tell which raw files are stressed versus unstressed controls
PXD051845	organism	two species in the deposit: 2 rows Hipposideros armiger (bat) and 1 row Suncus murinus (shrew); already correctly split in the current SDRF
PXD052071	sex	the study explicitly compares sex differences in the autopsy LAD samples, so both sexes are present with no run-to-sample key
PXD052071	disease	atherosclerotic burden of the individual autopsy arteries is not reported; PMI, not disease, is the study variable
PXD052878	disease	Five arms (ICM-DM, ICM-No DM, NICM-DM, NICM-No DM, healthy age-matched donors) plus pooled reference channels; disease varies by row and the existing per-row phenotype column is the only key.
PXD052878	sex	No statement of donor sex anywhere in title, description or protocol.
PXD052878	age	Only 'age-matched' is stated; no numeric age or range.
PXD052932	organism part	Deliberately multi-tissue atlas (heart, brain, kidney, liver, pancreas, stomach, intestine, lung, adipose, plus plasma and urine); already resolved per row.
PXD052932	sex	No sex stated for the donor Labradors.
PXD052932	age	No age stated.
PXD052932	developmental stage	No developmental stage stated; 'healthy aging' in the description is motivation, not a cohort description.
PXD052976	disease	Conplastic rat strains differing in mitochondrial genome, challenged with high-fat diet; the design compares insulin-resistant/metabolic-syndrome-prone strains against each other, so neither 'normal' nor a named disease holds for every row, and no run-to-strain key is given.
PXD052976	strain or breed	Several conplastic strains were used but none is named in the bundle and no run-to-strain key exists.
PXD052976	sex	Not stated.
PXD052976	age	Not stated.
PXD053037	disease	Sham vs transverse aortic constriction arms at two timepoints (1 and 4 weeks); no run-to-sample key in the bundle.
PXD053037	sex	Not stated.
PXD053037	strain or breed	Not stated.
PXD053037	age	Not stated.
PXD053051	disease	Wild-type vs Dysferlin-knockout arms; the knockout develops dilated cardiomyopathy while the WT arm is normal, and no run-to-genotype key is given.
PXD053051	sex	Not stated.
PXD053051	strain or breed	Not stated.
PXD053051	age	Not stated.
PXD053395	disease	Glatiramer-acetate-treated vs untreated myocardial-infarction animals; treatment/injury status varies across the 9 rows with no key.
PXD053395	sex	Not stated.
PXD053395	strain or breed	Not stated.
PXD053395	age	Not stated.
PXD053395	developmental stage	Not stated.
PXD053721	disease	Advanced heart failure patients plus nonfailing sex-matched controls; both arms are in the deposit with no run-to-arm key.
PXD053721	sex	Controls are explicitly 'sex-matched', so the cohort contains both sexes.
PXD053721	age	No numeric age or range given.
PXD054079	disease	Samples span several post-feeding timepoints (fasted, hypertrophy, regression); this is physiological post-prandial remodeling in healthy pythons, not a disease state, and the timepoint is not keyed to the two deposited runs.
PXD054079	sex	Not stated.
PXD054079	age	Not stated.
PXD056037	disease	TANGO2 knockout and wild-type/control arms are both present; the SDRF's own factor value column shows 32 of 63 rows are 'normal'.
PXD056037	organism	53 mouse rows and 10 human Cal51 cell-line rows.
PXD056037	organism part	Mouse heart, liver and brain plus human cell culture.
PXD056037	sex	No sex is stated anywhere in the bundle for the mice, and the human cell line rows cannot share it.
PXD056556	sex	NRVM isolations pool neonatal rat pups; no sex stated for any pool
PXD056556	disease	all four arms are culture treatments (adenoviral ROR2 overexpression vs control, +/- MG132), not a disease state; 'normal' would also be arguable but no health statement is given
PXD057325	sex	mice of both sexes; 51 runs with no published run-to-animal key
PXD057325	age	two age groups, 4 months and 23 months, not mappable to individual raw files
PXD057532	disease	three arms: Black6 SD healthy controls, Black6 HF (diet-induced cardiac dysfunction) and NZO SD (HFrEF-like); 38 runs with no run-to-group key
PXD057532	strain or breed	C57BL/6JRj and NZO/HIBomDife mice in the same deposit
PXD058012	disease	three arms pooled into one 16-plex TMT set: sham-operated controls, ACi failing hearts and ACi+SB203580; sham rows are not heart failure
PXD058090	disease	3 WT, 3 AAV-treated Ant1-/- and 3 untreated Ant1-/- mitochondrial-cardiomyopathy hearts
PXD058090	strain or breed	C57BL/6J stated only for the WT samples; background of the Ant1-/- and Ant1-/-+ND6P25L animals is not stated
PXD058185	disease	SMIM20-/- knockout hearts with cardiac pathology versus wild-type controls; no run-to-genotype key for the 24 runs
PXD058436	sex	eight autopsy donors (DN02-DN17), no sex reported in the publication
PXD058436	age	no donor ages reported anywhere in the paper
PXD059000	sex	not stated
PXD059000	strain or breed	only 'transgenic mice' is stated, no background strain
PXD060084	disease	NOS1, NOS2, NOS3, triple-NOS and sGCalpha1 null genotypes plus wild-type comparators; no run-to-genotype key for the 62 runs
PXD060109	organism part	multi-organ atlas (brain, heart, lung, liver, kidney, spleen); only 1 of 16 rows is heart, per-row values already differ and must stay per-row
PXD060109	sex	neither the protocol nor the publication states the sex of the mice
PXD060109	strain or breed	only the vendor (Charles River) is named in the paper; no strain given
PXD060259	sex	explicitly a sex-mixed cohort ('Adult sex-mixed WT and dysferlin-KO ... mice'); no run-to-animal sex key
PXD060259	disease	study design is MI vs sham (and WT vs dysferlin-KO); the 30 deposited runs are co-immunoprecipitation/IgG-control samples whose infarct status is not resolvable per run
PXD060307	sex	male- and female-derived OPC cultures are both present (that is the study's factor); already correctly split per row in the current SDRF
PXD060417	sex	sex of the three AAA patients is not reported
PXD060417	age	patient ages are not reported
PXD060431	disease	HFpEF patients vs non-failing donor controls; a case/control design
PXD060431	sex	mixed-sex cohort reported only as a group-level p-value; no per-run key is published
PXD060431	age	reported only as a group comparison (P=0.54), no per-sample ages published
PXD060431	ancestry category	race reported only as group percentages (60% vs 0% Black); no per-sample assignment published
PXD061501	sex	32 female and 32 male mice; both sexes are a study factor and no run-to-animal key is given
PXD061501	disease	normal-chow vs 60% high-fat diet-induced obesity arms, each with and without Linagliptin
PXD061501	organism part	atria and ventricles were processed separately but the bundle gives no mapping of raw files to heart region
PXD061589	disease	cryoinjured wound sites at 4 time points vs sham-operated geckos; no run-to-arm key in the bundle
PXD061589	sex	not stated anywhere
PXD061589	developmental stage	not stated anywhere
PXD061609	organism part	ten-tissue atlas; per-row values already differ and must stay per-row
PXD061609	sex	male and female animals are both present (and are the basis of the ovary/testis samples); the per-row split is derivable only from the raw file names, not from any statement in the bundle
PXD061882	treatment	four vehicle-control vs four SFN-treated hearts; no run-to-animal key in the bundle
PXD061882	disease	the deposit's own hearts are the target-identification arm; the JMML/Noonan disease models described in the abstract belong to other (non-deposited) experiments
PXD062798	disease	source names split 3 CTRL vs 3 RHD, i.e. a control vs disease-model design within the six runs
PXD064045	disease	Title names four genotypes (WT, Chchd10 S55L, Oma1 E324A, Chchd10 S55L/Oma1 E324A); only the Chchd10 S55L-carrying arms are the cardiomyopathy model and the bundle gives no run-to-sample key.
PXD064045	sex	The abstract states cardiac dysfunction is sex-dependent, implying both sexes were studied; no per-run sex key is available.
PXD064045	genotype	Four genotypes in the deposit but no file-to-genotype mapping in the bundle.
PXD064045	age	No age stated anywhere in the bundle.
PXD064057	disease	Title states the deposit contains CHCHD10 S55L and control mice; 15 rows are wild-type littermates, so no single disease value holds.
PXD064057	sex	The abstract states cardiac dysfunction is affected by biological sex, implying both sexes; no per-run sex key.
PXD064057	age	No age stated anywhere in the bundle.
PXD064499	sex	No sex is stated in the title, description, protocol or PRIDE fields; no publication is linked (PMID=0).
PXD064583	organism part	Multi-tissue atlas (32 tissues); the SDRF already carries a correct per-row organism part derived from the source names.
PXD064583	sex	No sex stated anywhere in the bundle.
PXD064583	age	No age stated; the study explicitly includes developmental samples alongside adults.
PXD065331	disease	Three arms - wild-type controls, diabetic (INS C94Y), and diabetic + CKD - with proteomics on WT N=5, DM N=5, DM_CKD N=4 and no run-to-sample key in the bundle.
PXD065331	sex	Animals of either sex entered the study and data from both sexes were pooled.
PXD066108	age	Cohort spans 3 to 27 years; the SDRF already maps age per individual via the source names.
PXD066108	developmental stage	3-year-old macaques are juvenile while the rest are adult; varies by individual.
PXD066108	organism part	30-tissue atlas; organism part is correctly per-row.
PXD066926	age	Three age groups (3, 12 and 20 months); the per-row assignment is recoverable from characteristics[phenotype] but is not a single uniform value.
PXD066926	sex	No sex stated anywhere in the bundle; no publication linked (PMID=0).
PXD067090	disease	Four arms - WT+vehicle, alpha-MHC 719/+ +vehicle, +pioglitazone and +R-pioglitazone - so 11 of the profiled animals are wild-type controls; no run-to-sample key in the bundle.
PXD067090	age	Cyclosporine A dosing started between 6 and 8 weeks of age and the phenotype is read out by 12 weeks; the exact harvest age per animal is not stated.
PXD067097	sex	donors are explicitly 'mixed sex'; no run-to-animal key in the deposit
PXD067097	disease	all animals are healthy Yorkshire pigs subjected to a DCD procurement protocol; no disease arm, but no explicit healthy/normal statement either
PXD067097	organism part	lysates come from both left and right ventricle myocardium and the 45 rows carry no LV/RV key, so 'heart' is the most specific safe value
PXD068671	disease	case/control design (donors with and without type 2 diabetes); the 46 rows carry no donor key
PXD068671	sex	no sex information in the open-access text (donor table is supplementary)
PXD068671	age	donor ages not stated in the available text
PXD068793	organism part	multi-tissue survey of 15 tissues plus plasma; already annotated per row
PXD068793	sex	both male and female animals, and pooled male+female library samples
PXD069110	disease	three arms - normal control, ischemic heart failure (5 weeks post-LAD ligation) and HF+resveratrol; a heart failure or MI diagnosis must not be broadcast to all 9 rows
PXD069685	disease	cardiomyocyte-selective Rhot1/2 knockout (cardiomyopathy) versus littermate controls; no run-to-genotype key for the 47 rows
PXD069685	age	proteome/phosphoproteome material was taken at 1 day and at 4 weeks of age
PXD069685	developmental stage	same deposit spans 1-day-old (neonate) and 4-week-old mice
PXD069685	sex	male mice at most time points but both sexes at the 1-day time point
PXD069823	developmental stage	the atlas mixes adult circadian time-course tissue with a separate set of developmental samples; nothing identifies these 72 brain/heart/lung/liver runs as embryonic
PXD069823	sex	not stated anywhere in the deposit
PXD069823	strain or breed	not stated in the deposit (the study also uses hPER2-S662G mutant mice)
PXD070758	disease	two arms - 10 severe calcific aortic stenosis valves and 9 non-stenotic comparator valves from aortic regurgitation patients
PXD070758	sex	not reported per patient
PXD070758	age	only group means are given (62 to 68.6 years)
PXD072759	sex	the study deliberately used both female and male mice and the single deposited run is not attributed to either
PXD072759	disease	the single run cannot be assigned to the saline or the doxorubicin-cardiomyopathy arm, nor to WT vs MARCH2 knockout
PXD073246	disease	two arms - 10 severe calcific aortic stenosis valves and 9 non-stenotic comparator valves from aortic regurgitation patients
PXD073246	sex	not reported per patient
PXD073246	age	only group means are given (62 to 68.6 years)
PXD073863	disease	no disease arm at all - the design contrasts fasted/post-prandial and normal vs frequent feeding intervals, which are physiological states; the 76 rows carry no group key
PXD074496	disease	the run names show at least an Ang II arm and an Ang II + NVP-2 arm (and the study includes saline controls); a hypertensive-remodeling diagnosis must not be broadcast to all 12 rows
PXD074496	developmental stage	only body weight (18-22 g) is given, never an age, so 'adult' cannot be quoted
PXD075583	disease	deposit mixes wild-type and Lrpprc-knockout mouse hearts (BN-PAGE lanes in triplicate, 24 bands each = 144 rows) and the bundle gives no run-to-genotype key
PXD075583	sex	sex of the mice is never stated in title, description or protocol
PXD075583	age	no age given
PXD075583	strain or breed	no strain stated; Lrpprc KO background not given
PXD076291	disease	the 6 rows are the ISO-treated MHF arm vs untreated control H9c2 cultures (3 per group in the paper); no run-to-arm key in the bundle
PXD077277	disease	study contrasts doxorubicin-induced cardiotoxicity, TOP2B transgenic, ASO-pretreated and untreated/control mice; no run-to-arm key, and DOID:1287 'cardiovascular system disease' in PRIDE is a registry bucket, not a diagnosis
PXD077277	sex	sex of the mice is never stated
PXD077277	age	no age stated; tamoxifen-inducible transgene implies adult induction but nothing explicit
PXD078502	disease	the mouse arm compares Adamts5-catalytic-domain-deficient ApoE-/- mice against controls; no run-to-genotype key in the bundle
PXD078502	sex	sex of the mice is not stated anywhere in the bundle
PXD078502	strain or breed	only the engineered genotypes (ApoE-/-, Adamts5 delta-cat) are given, not a background strain
PXD078686	disease	17 CAVD patients (each split into calcified and non-calcified regions) versus 29 heart transplant donor valves; no run-to-sample key in the bundle
PXD078686	sex	not reported
PXD078686	age	not reported
PXD079292	sex	surgical HCM myectomy cohort; no sex information anywhere in the bundle and no run-to-patient key
PXD079292	age	no ages given
PXD082534	sex	no sex information for the 24 LVAD patients
PXD082534	age	no ages given
PXD082534	sampling time point	38 rows = 14 BTT patients sampled pre- and post-LVAD plus 10 BTR patients sampled only pre-LVAD; the bundle gives no run-to-patient/timepoint key beyond the 'B'/'C' naming convention, which is not exposed in the SDRF
