source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2_multi_9	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	9	2_multi_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_multi_9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_multi_9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
1_mono_6	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	6	1_mono_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	1_mono_6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/1_mono_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
1_mono_12	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	12	1_mono_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	1_mono_12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/1_mono_12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_mono_2	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	2	2_mono_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_mono_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_mono_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
1_mono_4	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	4	1_mono_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	1_mono_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/1_mono_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_mono_1_3	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	3	2_mono_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_mono_1_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_mono_1_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
1_multi_6	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	6	1_multi_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	1_multi_6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/1_multi_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_mono_1_1	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	1	2_mono_1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_mono_1_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_mono_1_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_mono_11	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	11	2_mono_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_mono_11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_mono_11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
1_mono_1_2	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	2	1_mono_1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	1_mono_1_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/1_mono_1_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_mono_5	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	5	2_mono_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_mono_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_mono_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_multi_5	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	5	3_multi_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_multi_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_multi_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_multi_3	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	3	2_multi_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_multi_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_multi_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_multi_8	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	8	3_multi_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_multi_8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_multi_8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_mono_1	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	1	3_mono_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_mono_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_mono_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_multi_12	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	12	2_multi_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_multi_12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_multi_12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_mono_2	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	2	3_mono_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_mono_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_mono_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_multi_4	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	4	2_multi_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_multi_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_multi_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_multi_1_3	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	3	2_multi_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_multi_1_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_multi_1_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_mono_6	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	6	3_mono_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_mono_6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_mono_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_mono_9	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	9	2_mono_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_mono_9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_mono_9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_multi_8	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	8	2_multi_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_multi_8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_multi_8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
1_multi_1_3	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	3	1_multi_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	1_multi_1_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/1_multi_1_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_mono_7	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	7	3_mono_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_mono_7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_mono_7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
2_multi_11	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	11	2_multi_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	2_multi_11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/2_multi_11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_multi_12	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	12	3_multi_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_multi_12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_multi_12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
3_multi_6	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	6	3_multi_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	3_multi_6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/3_multi_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
1_mono_7	rattus norvegicus	Primary cell	not applicable	not available	enrichment of phosphorylated protein	7	1_mono_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	40% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	1_mono_7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000976/1_mono_7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Primary cell
