source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[antibody]	characteristics[cellular component]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	factor value[antibody]	factor value[cellular component]	factor value[genotype]
1ch_axon_WT_noAb_4	Mus musculus	lumbar spinal cord	motor neuron	4	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample24_S4-B12_1_9280	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample24_S4-B12_1_9280.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	axon	wild type
3ch_soma_WT_IP_1	Mus musculus	lumbar spinal cord	motor neuron	1	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample33_S4-A1_1_9241	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample33_S4-A1_1_9241.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
3ch_soma_WT_IP_2	Mus musculus	lumbar spinal cord	motor neuron	2	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample34_S4-A2_1_9242	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample34_S4-A2_1_9242.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
3ch_soma_WT_IP_3	Mus musculus	lumbar spinal cord	motor neuron	3	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample35_S4-A3_1_9243	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample35_S4-A3_1_9243.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
3ch_soma_WT_IP_4	Mus musculus	lumbar spinal cord	motor neuron	4	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample36_S4-A4_1_9244	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample36_S4-A4_1_9244.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
3ch_axon_WT_IP_1	Mus musculus	lumbar spinal cord	motor neuron	1	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample37_S4-A5_1_9227	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample37_S4-A5_1_9227.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
3ch_axon_WT_IP_2	Mus musculus	lumbar spinal cord	motor neuron	2	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample38_S4-A6_1_9228	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample38_S4-A6_1_9228.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
3ch_axon_WT_IP_3	Mus musculus	lumbar spinal cord	motor neuron	3	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample39_S4-A7_1_9229	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample39_S4-A7_1_9229.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
3ch_axon_WT_IP_4	Mus musculus	lumbar spinal cord	motor neuron	4	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample40_S4-A8_1_9230	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample40_S4-A8_1_9230.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
3ch_soma_WT_noAb_1	Mus musculus	lumbar spinal cord	motor neuron	1	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample41_S4-B1_1_9234	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample41_S4-B1_1_9234.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
3ch_soma_WT_noAb_2	Mus musculus	lumbar spinal cord	motor neuron	2	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample42_S4-B2_1_9235	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample42_S4-B2_1_9235.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
3ch_soma_WT_noAb_3	Mus musculus	lumbar spinal cord	motor neuron	3	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample43_S4-B3_1_9236	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample43_S4-B3_1_9236.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
3ch_soma_WT_noAb_4	Mus musculus	lumbar spinal cord	motor neuron	4	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample44_S4-B4_1_9237	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample44_S4-B4_1_9237.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
3ch_axon_WT_noAb_1	Mus musculus	lumbar spinal cord	motor neuron	1	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample45_S4-B5_1_9222	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample45_S4-B5_1_9222.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	axon	wild type
3ch_axon_WT_noAb_2	Mus musculus	lumbar spinal cord	motor neuron	2	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample46_S4-B6_1_9223	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample46_S4-B6_1_9223.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	axon	wild type
3ch_axon_WT_noAb_3	Mus musculus	lumbar spinal cord	motor neuron	3	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample47_S4-B7_1_9224	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample47_S4-B7_1_9224.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	axon	wild type
3ch_axon_WT_noAb_4	Mus musculus	lumbar spinal cord	motor neuron	4	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample48_S4-B8_1_9225	proteomic profiling by mass spectrometry	1	20230516_TIMS06_JaBa_SA_33F4_DDA_H2_sample48_S4-B8_1_9225.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 1 (3 microchambers per sample)	0.7	1.3	no antibody	axon	wild type
