source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[dissociation method]
TO_Braun_180215_270215_G1L3_18	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_Braun_180215_270215_G1L3_18	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_Braun_180215_270215_G1L3_18.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_Braun_180215_270215_G1L3_18	Homo sapiens	not applicable	not applicable	1	TO_Braun_180215_270215_G1L3_18	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_Braun_180215_270215_G1L3_18.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_030715_AML_57_G3L13_5	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_030715_AML_57_G3L13_5	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_030715_AML_57_G3L13_5.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_030715_AML_57_G3L13_5	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_030715_AML_57_G3L13_5	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_030715_AML_57_G3L13_5.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_140715_AML_62_G5L18_10	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_140715_AML_62_G5L18_10	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_140715_AML_62_G5L18_10.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_140715_AML_62_G5L18_10	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_140715_AML_62_G5L18_10	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_140715_AML_62_G5L18_10.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_140715_AML_62_G5L18_13	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_140715_AML_62_G5L18_13	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_140715_AML_62_G5L18_13.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_140715_AML_62_G5L18_13	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_140715_AML_62_G5L18_13	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_140715_AML_62_G5L18_13.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_170715_AML_64_G5L20_22	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_170715_AML_64_G5L20_22	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_170715_AML_64_G5L20_22.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_170715_AML_64_G5L20_22	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_170715_AML_64_G5L20_22	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_170715_AML_64_G5L20_22.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_290615_AML_54_G3L10_22	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_290615_AML_54_G3L10_22	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_290615_AML_54_G3L10_22.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_290615_AML_54_G3L10_22	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_290615_AML_54_G3L10_22	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_290615_AML_54_G3L10_22.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_030715_AML_56_G3L12_15	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_030715_AML_56_G3L12_15	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_030715_AML_56_G3L12_15.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_030715_AML_56_G3L12_15	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_030715_AML_56_G3L12_15	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_030715_AML_56_G3L12_15.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_170715_AML_64_G5L20_14	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_170715_AML_64_G5L20_14	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_170715_AML_64_G5L20_14.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_170715_AML_64_G5L20_14	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_170715_AML_64_G5L20_14	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_170715_AML_64_G5L20_14.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
T_Oellerich_271113_210314_G2L7_9	Homo sapiens	blood cell	Acute myeloid leukemia	1	T_Oellerich_271113_210314_G2L7_9	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_271113_210314_G2L7_9.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_T_Oellerich_271113_210314_G2L7_9	Homo sapiens	not applicable	not applicable	1	T_Oellerich_271113_210314_G2L7_9	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_271113_210314_G2L7_9.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_310715_AML_72_G7L28_13	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_310715_AML_72_G7L28_13	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_310715_AML_72_G7L28_13.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_310715_AML_72_G7L28_13	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_310715_AML_72_G7L28_13	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_310715_AML_72_G7L28_13.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
H_Lang_300715_240815_AML_75_L2_16a	Homo sapiens	blood cell	Acute myeloid leukemia	1	H_Lang_300715_240815_AML_75_L2_16a	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	H_Lang_300715_240815_AML_75_L2_16a.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_H_Lang_300715_240815_AML_75_L2_16a	Homo sapiens	not applicable	not applicable	1	H_Lang_300715_240815_AML_75_L2_16a	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	H_Lang_300715_240815_AML_75_L2_16a.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
H_Lang_300715_210815_AML_74_L1_6	Homo sapiens	blood cell	Acute myeloid leukemia	1	H_Lang_300715_210815_AML_74_L1_6	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	H_Lang_300715_210815_AML_74_L1_6.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_H_Lang_300715_210815_AML_74_L1_6	Homo sapiens	not applicable	not applicable	1	H_Lang_300715_210815_AML_74_L1_6	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	H_Lang_300715_210815_AML_74_L1_6.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_290715_AML_70_G6_L26_2	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_290715_AML_70_G6_L26_2	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_290715_AML_70_G6_L26_2.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_290715_AML_70_G6_L26_2	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_290715_AML_70_G6_L26_2	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_290715_AML_70_G6_L26_2.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
T_Oellerich_210514_050614_AML28_12	Homo sapiens	blood cell	Acute myeloid leukemia	1	T_Oellerich_210514_050614_AML28_12	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_210514_050614_AML28_12.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_T_Oellerich_210514_050614_AML28_12	Homo sapiens	not applicable	not applicable	1	T_Oellerich_210514_050614_AML28_12	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_210514_050614_AML28_12.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
T_Oellerich_271113_190314_G2L6_8	Homo sapiens	blood cell	Acute myeloid leukemia	1	T_Oellerich_271113_190314_G2L6_8	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_271113_190314_G2L6_8.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_T_Oellerich_271113_190314_G2L6_8	Homo sapiens	not applicable	not applicable	1	T_Oellerich_271113_190314_G2L6_8	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_271113_190314_G2L6_8.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_170715_AML_65_G5L21_3	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_170715_AML_65_G5L21_3	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_170715_AML_65_G5L21_3.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_170715_AML_65_G5L21_3	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_170715_AML_65_G5L21_3	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_170715_AML_65_G5L21_3.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
T_Oellerich_271113_110314_G1L2_1	Homo sapiens	blood cell	Acute myeloid leukemia	1	T_Oellerich_271113_110314_G1L2_1	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_271113_110314_G1L2_1.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_T_Oellerich_271113_110314_G1L2_1	Homo sapiens	not applicable	not applicable	1	T_Oellerich_271113_110314_G1L2_1	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_271113_110314_G1L2_1.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
T_Oellerich_090114_070414_G1L4_18	Homo sapiens	blood cell	Acute myeloid leukemia	1	T_Oellerich_090114_070414_G1L4_18	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_090114_070414_G1L4_18.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
