source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
Cd4	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	4	Cd4_Li_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Cd4_Li_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Cd2	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	2	Cd2_EGTA_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	EGTA extraction of cell wall proteins	2	1	Cd2_EGTA_2.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr4	Medicago sativa	stem	pre-flowering stage	not applicable	Control	4	Ctr4_Li_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Ctr4_Li_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Ctr5	Medicago sativa	stem	pre-flowering stage	not applicable	Control	5	Ctr5_Ca_5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	calcium chloride extraction of cell wall proteins	1	1	Ctr5_Ca_5.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Ctr4	Medicago sativa	stem	pre-flowering stage	not applicable	Control	4	Ctr4_EGTA_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	EGTA extraction of cell wall proteins	2	1	Ctr4_EGTA_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd3	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	3	Cd3_S_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Cd3_S_3.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr4	Medicago sativa	stem	pre-flowering stage	not applicable	Control	4	Ctr4_S_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Ctr4_S_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd4	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	4	Cd4_S_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Cd4_S_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr1	Medicago sativa	stem	pre-flowering stage	not applicable	Control	1	Ctr1_Li_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Ctr1_Li_1.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Ctr2	Medicago sativa	stem	pre-flowering stage	not applicable	Control	2	Ctr2_S_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Ctr2_S_2.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd1	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	1	Cd1_Li_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Cd1_Li_1.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
