source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[material type]	characteristics[treatment]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[fractionation method]	comment[sample preparation batch]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[organism part]	factor value[sampling time]	factor value[genotype]
20150623_med_Sal_1	Mus musculus	medulla oblongata	not applicable	normal	not available	not available	not available	not available	tissue	saline	not available	enrichment of phosphorylated protein	1	run 49	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-06-27T10:43:06	1	1	20150623_QEp6_JeLi_SA_L976_med_Sal_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	medulla oblongata	not available	not available
20150623_med_Sal_2	Mus musculus	medulla oblongata	not applicable	normal	not available	not available	not available	not available	tissue	saline	not available	enrichment of phosphorylated protein	2	run 50	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-06-27T17:54:04	1	1	20150623_QEp6_JeLi_SA_L976_med_Sal_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	medulla oblongata	not available	not available
20150623_med_Sal_3	Mus musculus	medulla oblongata	not applicable	normal	not available	not available	not available	not available	tissue	saline	not available	enrichment of phosphorylated protein	3	run 51	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-06-27T20:46:00	1	1	20150623_QEp6_JeLi_SA_L976_med_Sal_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	medulla oblongata	not available	not available
20150623_med_U50_1	Mus musculus	medulla oblongata	not applicable	normal	not available	not available	not available	not available	tissue	U-50,488H	not available	enrichment of phosphorylated protein	1	run 52	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-06-29T18:32:07	1	1	20150623_QEp6_JeLi_SA_L976_med_U50_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	medulla oblongata	not available	not available
20150623_med_U50_2	Mus musculus	medulla oblongata	not applicable	normal	not available	not available	not available	not available	tissue	U-50,488H	not available	enrichment of phosphorylated protein	2	run 53	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-06-29T21:21:55	1	1	20150623_QEp6_JeLi_SA_L976_med_U50_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	medulla oblongata	not available	not available
20150623_med_U50_3	Mus musculus	medulla oblongata	not applicable	normal	not available	not available	not available	not available	tissue	U-50,488H	not available	enrichment of phosphorylated protein	3	run 54	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-06-30T00:16:18	1	1	20150623_QEp6_JeLi_SA_L976_med_U50_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	medulla oblongata	not available	not available
20150623_wtHippo_6GNTI_1	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	6'-GNTI	not available	enrichment of phosphorylated protein	1	run 55	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-03T01:38:05	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_6GNTI_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6'-GNTI	hippocampal formation	not available	wild type
20150623_wtHippo_6GNTI_2	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	6'-GNTI	not available	enrichment of phosphorylated protein	2	run 56	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-03T04:26:33	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_6GNTI_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6'-GNTI	hippocampal formation	not available	wild type
20150623_wtHippo_6GNTI_3	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	6'-GNTI	not available	enrichment of phosphorylated protein	3	run 57	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-03T07:14:56	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_6GNTI_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6'-GNTI	hippocampal formation	not available	wild type
20150623_wtHippo_Sal_1	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	saline	not available	enrichment of phosphorylated protein	1	run 58	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-02T11:17:09	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_Sal_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	hippocampal formation	not available	wild type
20150623_wtHippo_Sal_2	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	saline	not available	enrichment of phosphorylated protein	2	run 59	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-02T14:05:21	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_Sal_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	hippocampal formation	not available	wild type
20150623_wtHippo_Sal_3	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	saline	not available	enrichment of phosphorylated protein	3	run 60	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-02T22:01:21	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_Sal_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	hippocampal formation	not available	wild type
20150623_wtHippo_U50_1	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	U-50,488H	not available	enrichment of phosphorylated protein	1	run 61	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-03T10:51:44	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_U50_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	hippocampal formation	not available	wild type
20150623_wtHippo_U50_2	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	U-50,488H	not available	enrichment of phosphorylated protein	2	run 62	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-03T13:39:32	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_U50_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	hippocampal formation	not available	wild type
20150623_wtHippo_U50_3	Mus musculus	hippocampal formation	not applicable	normal	not available	not available	not available	wild type	tissue	U-50,488H	not available	enrichment of phosphorylated protein	3	run 63	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-03T16:27:06	1	1	20150623_QEp6_JeLi_SA_L976_wtHippo_U50_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	hippocampal formation	not available	wild type
20150623_wtStr_6GNTI_1	Mus musculus	striatum	not applicable	normal	not available	not available	not available	wild type	tissue	6'-GNTI	not available	enrichment of phosphorylated protein	1	run 64	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-01T16:51:54	1	1	20150623_QEp6_JeLi_SA_L976_wtStr_6GNTI_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6'-GNTI	striatum	not available	wild type
20150623_wtStr_6GNTI_2	Mus musculus	striatum	not applicable	normal	not available	not available	not available	wild type	tissue	6'-GNTI	not available	enrichment of phosphorylated protein	2	run 65	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-01T19:39:53	1	1	20150623_QEp6_JeLi_SA_L976_wtStr_6GNTI_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6'-GNTI	striatum	not available	wild type
20150623_wtStr_6GNTI_3	Mus musculus	striatum	not applicable	normal	not available	not available	not available	wild type	tissue	6'-GNTI	not available	enrichment of phosphorylated protein	3	run 66	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-01T22:27:35	1	1	20150623_QEp6_JeLi_SA_L976_wtStr_6GNTI_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6'-GNTI	striatum	not available	wild type
20150623_wtStr_Sal_1	Mus musculus	striatum	not applicable	normal	not available	not available	not available	wild type	tissue	saline	not available	enrichment of phosphorylated protein	1	run 67	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-01T07:39:25	1	1	20150623_QEp6_JeLi_SA_L976_wtStr_Sal_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	striatum	not available	wild type
20150623_wtStr_Sal_2	Mus musculus	striatum	not applicable	normal	not available	not available	not available	wild type	tissue	saline	not available	enrichment of phosphorylated protein	2	run 68	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-01T10:27:31	1	1	20150623_QEp6_JeLi_SA_L976_wtStr_Sal_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	striatum	not available	wild type
20150623_wtStr_Sal_3	Mus musculus	striatum	not applicable	normal	not available	not available	not available	wild type	tissue	saline	not available	enrichment of phosphorylated protein	3	run 69	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150623	2015-07-01T13:15:05	1	1	20150623_QEp6_JeLi_SA_L976_wtStr_Sal_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	saline	striatum	not available	wild type
